pathways	n_tested	terms	rawp	FDR_BY	STANDARD_NAME	SYSTEMATIC_NAME	EXTERNAL_DETAILS_URL	CHIP	CATEGORY_CODE	SUB_CATEGORY_CODE	CONTRIBUTOR	CONTRIBUTOR_ORG	DESCRIPTION_BRIEF	GOID
path3771	5	GOBP_MODULATION_OF_MOLECULAR_FUNCTION_IN_OTHER_ORGANISM	8.374108066591088e-7	0.03702778998923284	GO_MODULATION_OF_MOLECULAR_FUNCTION_IN_OTHER_ORGANISM	NA	NA	NA	NA	NA	NA	NA	NA	NA
path3463	10	GOBP_MIDDLE_EAR_MORPHOGENESIS	1.0486517507749383e-6	0.03702778998923284	GO_MIDDLE_EAR_MORPHOGENESIS	M13066	http://amigo.geneontology.org/amigo/term/GO:0042474	EntrezGeneIds	C5	BP	Gene Ontology	GO	The process in which the anatomical structures of the middle ear are generated and organized. The middle ear is the air-filled cavity within the skull of vertebrates that lies between the outer ear and the inner ear. It is linked to the pharynx (and therefore to outside air) via the Eustachian tube and in mammals contains the three ear ossicles, which transmit auditory vibrations from the outer ear (via the tympanum) to the inner ear (via the oval window).	GO:0042474
path5510	34	GOBP_RESPONSE_TO_INTERLEUKIN_6	4.0382419433755125e-6	0.07261368388436236	GO_RESPONSE_TO_INTERLEUKIN_6	M14320	http://amigo.geneontology.org/amigo/term/GO:0070741	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-6 stimulus.	GO:0070741
path3153	4	GOBP_RECEPTOR_TRANSACTIVATION	4.112936081667138e-6	0.07261368388436236	GO_RECEPTOR_TRANSACTIVATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path5383	18	GOBP_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY	6.258572889849501e-6	0.08839583681671256	GO_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path2080	2	GOBP_SPINAL_CORD_OLIGODENDROCYTE_CELL_DIFFERENTIATION	8.89493131913724e-6	0.1046930494673348	GO_SPINAL_CORD_OLIGODENDROCYTE_CELL_DIFFERENTIATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path322	3	GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	1.4309360579936001e-5	0.1443606034517398	GO_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path6991	1	GOBP_POSITIVE_REGULATION_OF_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION	1.9412377740880818e-5	0.17136228629995906	GO_POSITIVE_REGULATION_OF_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path2294	29	GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	3.496416872420777e-5	0.21555975287382823	GO_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path2098	13	GOBP_VENTRICULAR_SYSTEM_DEVELOPMENT	3.71295771735714e-5	0.21555975287382823	GO_VENTRICULAR_SYSTEM_DEVELOPMENT	M11577	http://amigo.geneontology.org/amigo/term/GO:0021591	EntrezGeneIds	C5	BP	Gene Ontology	GO	The process whose specific outcome is the progression of the brain ventricular system over time, from its formation to the mature structure. The brain ventricular system consists of four communicating cavities within the brain that are continuous with the central canal of the spinal cord. These cavities include two lateral ventricles, the third ventricle and the fourth ventricle. Cerebrospinal fluid fills the ventricles and is produced by the choroid plexus.	GO:0021591
path3031	4	GOBP_HISTONE_H4_K20_METHYLATION	4.149484106310539e-5	0.21555975287382823	GO_HISTONE_H4_K20_METHYLATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path3984	33	GOBP_POSITIVE_REGULATION_OF_OSSIFICATION	4.191666590988147e-5	0.21555975287382823	GO_POSITIVE_REGULATION_OF_OSSIFICATION	M16952	http://amigo.geneontology.org/amigo/term/GO:0045778	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that activates or increases the frequency, rate or extent of bone formation.	GO:0045778
path4264	5	GOBP_SOMATIC_STEM_CELL_DIVISION	4.30525958817797e-5	0.21555975287382823	GO_SOMATIC_STEM_CELL_DIVISION	M14798	http://amigo.geneontology.org/amigo/term/GO:0048103	EntrezGeneIds	C5	BP	Gene Ontology	GO	The self-renewing division of a somatic stem cell, a stem cell that can give rise to cell types of the body other than those of the germ-line.	GO:0048103
path7153	3	GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMATIN	4.486190924968597e-5	0.21555975287382823	GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMATIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
path6126	5	GOBP_GABAERGIC_NEURON_DIFFERENTIATION	4.578597162701669e-5	0.21555975287382823	GO_GABAERGIC_NEURON_DIFFERENTIATION	M11870	http://amigo.geneontology.org/amigo/term/GO:0097154	EntrezGeneIds	C5	BP	Gene Ontology	GO	The process in which a neuroblast acquires the specialized structural and functional features of a GABAergic neuron.	GO:0097154
path3653	15	GOBP_SKELETAL_MUSCLE_ADAPTATION	5.470573133143025e-5	0.2281481868646558	GO_SKELETAL_MUSCLE_ADAPTATION	M10779	http://amigo.geneontology.org/amigo/term/GO:0043501	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process in which skeletal muscles change their phenotypic profiles in response to altered functional demands and a variety of signals.	GO:0043501
path4619	5	GOBP_NEGATIVE_REGULATION_OF_HELICASE_ACTIVITY	5.4921127162091266e-5	0.2281481868646558	GO_NEGATIVE_REGULATION_OF_HELICASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path5176	5	GOBP_REGULATION_OF_MAST_CELL_CHEMOTAXIS	6.480312212229742e-5	0.2527647329422834	GO_REGULATION_OF_MAST_CELL_CHEMOTAXIS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path506	3	GOBP_VOLUNTARY_SKELETAL_MUSCLE_CONTRACTION	7.126547189339204e-5	0.2527647329422834	GO_VOLUNTARY_SKELETAL_MUSCLE_CONTRACTION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path4988	6	GOBP_PRIMITIVE_HEMOPOIESIS	7.158466109134829e-5	0.2527647329422834	GO_PRIMITIVE_HEMOPOIESIS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path6351	33	GOBP_POSITIVE_REGULATION_OF_BIOMINERALIZATION	7.637410273404494e-5	0.25683448018008753	GO_POSITIVE_REGULATION_OF_BIOMINERALIZATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path33	9	GOBP_MEIOTIC_SPINDLE_ORGANIZATION	8.679469420844943e-5	0.27861019091290634	GO_MEIOTIC_SPINDLE_ORGANIZATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1664	21	GOBP_REGULATION_OF_NECROTIC_CELL_DEATH	9.188574604958224e-5	0.2821284033823633	GO_REGULATION_OF_NECROTIC_CELL_DEATH	M13153	http://amigo.geneontology.org/amigo/term/GO:0010939	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that modulates the rate, frequency or extent of necrotic cell death. Necrotic cell death is a cell death process that is morphologically characterized by a gain in cell volume (oncosis), swelling of organelles, plasma membrane rupture and subsequent loss of intracellular contents.	GO:0010939
path6036	4	GOBP_SPINDLE_ASSEMBLY_INVOLVED_IN_MEIOSIS	9.866402507329063e-5	0.2903180836096179	GO_SPINDLE_ASSEMBLY_INVOLVED_IN_MEIOSIS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path2079	4	GOBP_SPINAL_CORD_ASSOCIATION_NEURON_DIFFERENTIATION	1.0701943605087736e-4	0.30230765932958387	GO_SPINAL_CORD_ASSOCIATION_NEURON_DIFFERENTIATION	M14634	http://amigo.geneontology.org/amigo/term/GO:0021527	EntrezGeneIds	C5	BP	Gene Ontology	GO	The process in which neuroepithelial cells in the neural tube acquire specialized structural and/or functional features of association neurons. Association neurons are cells located in the dorsal portion of the spinal cord that integrate sensory input. Differentiation includes the processes involved in commitment of a cell to a specific fate.	GO:0021527
path5653	10	GOBP_CELLULAR_HYPEROSMOTIC_RESPONSE	1.2255708640058178e-4	0.317736675251539	GO_CELLULAR_HYPEROSMOTIC_RESPONSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path4057	9	GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	1.2536028983898748e-4	0.317736675251539	GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	M10430	http://amigo.geneontology.org/amigo/term/GO:0045956	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that activates or increases the frequency, rate or extent of calcium ion-dependent exocytosis.	GO:0045956
path7258	3	GOBP_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	1.2597920892355494e-4	0.317736675251539	GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1208	10	GOBP_SULFATE_TRANSPORT	1.3692317796252187e-4	0.32322755223224825	GO_SULFATE_TRANSPORT	M11256	http://amigo.geneontology.org/amigo/term/GO:0008272	EntrezGeneIds	C5	BP	Gene Ontology	GO	The directed movement of sulfate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	GO:0008272
path2861	5	GOBP_POSITIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	1.3983834227379902e-4	0.32322755223224825	GO_POSITIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	M13267	http://amigo.geneontology.org/amigo/term/GO:0033605	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that activates or increases the frequency, rate or extent of the regulated release of a catecholamine.	GO:0033605
path5345	6	GOBP_TELOMERIC_D_LOOP_DISASSEMBLY	1.4908360022982143e-4	0.32322755223224825	GO_TELOMERIC_D_LOOP_DISASSEMBLY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path6088	6	GOBP_TELOMERIC_LOOP_DISASSEMBLY	1.4908360022982143e-4	0.32322755223224825	GO_TELOMERIC_LOOP_DISASSEMBLY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path535	6	GOBP_ENDOCARDIUM_DEVELOPMENT	1.5175143630712792e-4	0.32322755223224825	GO_ENDOCARDIUM_DEVELOPMENT	M11703	http://amigo.geneontology.org/amigo/term/GO:0003157	EntrezGeneIds	C5	BP	Gene Ontology	GO	The process whose specific outcome is the progression of the endocardium over time, from its formation to the mature structure. The endocardium is an anatomical structure comprised of an endothelium and an extracellular matrix that forms the innermost layer of tissue of the heart, and lines the heart chambers.	GO:0003157
path3580	5	GOBP_RESPONSE_TO_LEUCINE	1.6092063584834308e-4	0.32322755223224825	GO_RESPONSE_TO_LEUCINE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path3762	2	GOBP_PROTEIN_K27_LINKED_UBIQUITINATION	1.6267754232157224e-4	0.32322755223224825	GO_PROTEIN_K27_LINKED_UBIQUITINATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path4149	6	GOBP_SALIVA_SECRETION	1.647723640979097e-4	0.32322755223224825	GO_SALIVA_SECRETION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path5121	11	GOBP_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH	1.7008031121973355e-4	0.32462265027160775	GO_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH	M16044	http://amigo.geneontology.org/amigo/term/GO:0060547	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that decreases the rate, frequency or extent of necrotic cell death. Necrotic cell death is a cell death process that is morphologically characterized by a gain in cell volume (oncosis), swelling of organelles, plasma membrane rupture and subsequent loss of intracellular contents.	GO:0060547
path6640	37	GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	1.825430229644011e-4	0.3392408501944786	GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	M12226	http://amigo.geneontology.org/amigo/term/GO:1902041	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that modulates the frequency, rate or extent of extrinsic apoptotic signaling pathway via death domain receptors.	GO:1902041
path4761	2	GOBP_NEGATIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION	1.9188640915863975e-4	0.3427540602172521	GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path2418	2	GOBP_NEGATIVE_REGULATION_OF_VESICLE_FUSION	1.9610650652462992e-4	0.3427540602172521	GO_NEGATIVE_REGULATION_OF_VESICLE_FUSION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path3772	4	GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION_IN_OTHER_ORGANISM	1.989939915790119e-4	0.3427540602172521	GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION_IN_OTHER_ORGANISM	NA	NA	NA	NA	NA	NA	NA	NA	NA
