pathways	n_tested	terms	rawp	FDR_BY	STANDARD_NAME	SYSTEMATIC_NAME	EXTERNAL_DETAILS_URL	CHIP	CATEGORY_CODE	SUB_CATEGORY_CODE	CONTRIBUTOR	CONTRIBUTOR_ORG	DESCRIPTION_BRIEF	GOID
path860	3	GOCC_CYTOPLASMIC_SIDE_OF_LYSOSOMAL_MEMBRANE	4.4211634854355473e-7	0.003219545138727697	GO_CYTOPLASMIC_SIDE_OF_LYSOSOMAL_MEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path565	5	GOCC_SEH1_ASSOCIATED_COMPLEX	6.707023901031602e-6	0.024420682776187246	GO_SEH1_ASSOCIATED_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path367	1	GOCC_CHECKPOINT_CLAMP_COMPLEX	2.1965747101887846e-5	0.05331908258491533	GO_CHECKPOINT_CLAMP_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path410	5	GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX	5.161098424409648e-5	0.0939593695050066	GO_CD95_DEATH_INDUCING_SIGNALING_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path817	4	GOCC_RIPOPTOSOME	8.205331151550272e-5	0.11950444315235324	GO_RIPOPTOSOME	NA	NA	NA	NA	NA	NA	NA	NA	NA
path662	3	GOCC_NSL_COMPLEX	1.832525822838298e-4	0.20082676714904568	GO_NSL_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path431	3	GOCC_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX	1.930463938510932e-4	0.20082676714904568	GO_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path546	4	GOCC_MICROTUBULE_ORGANIZING_CENTER_ATTACHMENT_SITE	3.1539518171477734e-4	0.2870932695129447	GO_MICROTUBULE_ORGANIZING_CENTER_ATTACHMENT_SITE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path790	3	GOCC_MEIOTIC_SPINDLE	4.498416219830476e-4	0.3639779468368272	GO_MEIOTIC_SPINDLE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path733	4	GOCC_TRANSCRIPTION_EXPORT_COMPLEX_2	5.771295071084065e-4	0.3883187239139521	GO_TRANSCRIPTION_EXPORT_COMPLEX_2	NA	NA	NA	NA	NA	NA	NA	NA	NA
path722	3	GOCC_GATOR2_COMPLEX	5.865743568712697e-4	0.3883187239139521	GO_GATOR2_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path979	4	GOCC_ATG1_ULK1_KINASE_COMPLEX	7.245033038664945e-4	0.4396601139118731	GO_ATG1_ULK1_KINASE_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path120	11	GOCC_ANAPHASE_PROMOTING_COMPLEX	0.0016527139959962155	0.8371062815739199	GO_ANAPHASE_PROMOTING_COMPLEX	M17133	http://amigo.geneontology.org/amigo/term/GO:0005680	EntrezGeneIds	C5	CC	Gene Ontology	GO	A ubiquitin ligase complex that degrades mitotic cyclins and anaphase inhibitory protein, thereby triggering sister chromatid separation and exit from mitosis. Substrate recognition by APC occurs through degradation signals, the most common of which is termed the Dbox degradation motif, originally discovered in cyclin B.	GO:0005680
path60	6	GOCC_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE	0.001925549922170852	0.8371062815739199	GO_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE	M17516	http://amigo.geneontology.org/amigo/term/GO:0000940	EntrezGeneIds	C5	CC	Gene Ontology	GO	The region of a condensed chromosome kinetochore most external to centromeric DNA; this outer region mediates kinetochore-microtubule interactions.	GO:0000940
path736	13	GOCC_SAGA_TYPE_COMPLEX	0.0019309408546950833	0.8371062815739199	GO_SAGA_TYPE_COMPLEX	M17396	http://amigo.geneontology.org/amigo/term/GO:0070461	EntrezGeneIds	C5	CC	Gene Ontology	GO	A histone acetyltransferase complex that acetylates nucleosomal H3 and H2B and is required for the expression of a subset of Pol II-transcribed genes. The budding yeast complex includes the acetyltransferase Gcn5p, several proteins of the Spt and Ada families, and several TBP-associate proteins (TAFs); analogous complexes in other species have analogous compositions, and usually contain homologs of the yeast proteins.	GO:0070461
path10	26	GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	0.0019520733329998535	0.8371062815739199	GO_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	M17832	http://amigo.geneontology.org/amigo/term/GO:0000152	EntrezGeneIds	C5	CC	Gene Ontology	GO	A ubiquitin ligase complex found in the nucleus.	GO:0000152
path257	4	GOCC_PREFOLDIN_COMPLEX	0.0020369072258003065	0.8371062815739199	GO_PREFOLDIN_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path990	1	GOCC_MICROVESICLE	0.002069165182934699	0.8371062815739199	GO_MICROVESICLE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path673	9	GOCC_PRONUCLEUS	0.0023533263806948803	0.8740450998482344	GO_PRONUCLEUS	M17231	http://amigo.geneontology.org/amigo/term/GO:0045120	EntrezGeneIds	C5	CC	Gene Ontology	GO	The nucleus of either the ovum or the spermatozoon following fertilization. Thus, in the fertilized ovum, there are two pronuclei, one originating from the ovum, the other from the spermatozoon that brought about fertilization; they approach each other, but do not fuse until just before the first cleavage, when each pronucleus loses its membrane to release its contents.	GO:0045120
path712	8	GOCC_INHIBITORY_SYNAPSE	0.0024545374367053842	0.8740450998482344	GO_INHIBITORY_SYNAPSE	M17597	http://amigo.geneontology.org/amigo/term/GO:0060077	EntrezGeneIds	C5	CC	Gene Ontology	GO	A synapse in which an action potential in the presynaptic cell reduces the probability of an action potential occurring in the postsynaptic cell.	GO:0060077
path453	3	GOCC_TORC2_COMPLEX	0.0025205492821137932	0.8740450998482344	GO_TORC2_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path409	8	GOCC_DEATH_INDUCING_SIGNALING_COMPLEX	0.0030665814403243157	0.9314807407142157	GO_DEATH_INDUCING_SIGNALING_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
