pathways	n_tested	terms	rawp	FDR_BY	STANDARD_NAME	SYSTEMATIC_NAME	EXTERNAL_DETAILS_URL	CHIP	CATEGORY_CODE	SUB_CATEGORY_CODE	CONTRIBUTOR	CONTRIBUTOR_ORG	DESCRIPTION_BRIEF	GOID
path1524	3	GOMF_LEUCINE_BINDING	1.0476495188083691e-5	0.141252955801	GO_LEUCINE_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1271	15	GOMF_BHLH_TRANSCRIPTION_FACTOR_BINDING	5.49580178982776e-5	0.2031495824360826	GO_BHLH_TRANSCRIPTION_FACTOR_BINDING	M17935	http://amigo.geneontology.org/amigo/term/GO:0043425	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with any of the basic Helix-Loop-Helix (bHLH) superfamily of transcription factors, important regulatory components in transcriptional networks of many developmental pathways.	GO:0043425
path236	4	GOMF_G_PROTEIN_COUPLED_RECEPTOR_KINASE_ACTIVITY	6.519003749223205e-5	0.2031495824360826	GO_G_PROTEIN_COUPLED_RECEPTOR_KINASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path630	9	GOMF_CALCIUM_ACTIVATED_POTASSIUM_CHANNEL_ACTIVITY	6.547758943404274e-5	0.2031495824360826	GO_CALCIUM_ACTIVATED_POTASSIUM_CHANNEL_ACTIVITY	M18059	http://amigo.geneontology.org/amigo/term/GO:0015269	EntrezGeneIds	C5	MF	Gene Ontology	GO	Enables the calcium concentration-regulatable energy-independent passage of potassium ions across a lipid bilayer down a concentration gradient.	GO:0015269
path941	13	GOMF_ION_GATED_CHANNEL_ACTIVITY	8.894872701899637e-5	0.2031495824360826	GO_ION_GATED_CHANNEL_ACTIVITY	M18656	http://amigo.geneontology.org/amigo/term/GO:0022839	EntrezGeneIds	C5	MF	Gene Ontology	GO	Enables the transmembrane transfer of a solute by a channel that opens in response to a specific ion stimulus.	GO:0022839
path664	9	GOMF_EFFLUX_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1.0169773439092261e-4	0.2031495824360826	GO_EFFLUX_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1419	3	GOMF_EPINEPHRINE_BINDING	0.00010547085033008805	0.2031495824360826	GO_EPINEPHRINE_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path353	11	GOMF_CALCIUM_ACTIVATED_CATION_CHANNEL_ACTIVITY	1.4234356553801254e-4	0.23989952043274176	GO_CALCIUM_ACTIVATED_CATION_CHANNEL_ACTIVITY	M18125	http://amigo.geneontology.org/amigo/term/GO:0005227	EntrezGeneIds	C5	MF	Gene Ontology	GO	Enables the calcium concentration-regulatable energy-independent passage of cations across a lipid bilayer down a concentration gradient.	GO:0005227
path590	9	GOMF_SULFATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2.65370898648128e-4	0.39755050758505667	GO_SULFATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	M19015	http://amigo.geneontology.org/amigo/term/GO:0015116	EntrezGeneIds	C5	MF	Gene Ontology	GO	Enables the transfer of sulfate ions, SO4(2-), from one side of a membrane to the other.	GO:0015116
path93	4	GOMF_TELOMERASE_ACTIVITY	3.8106450902093334e-4	0.4613921166133987	GO_TELOMERASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path127	4	GOMF_RNA_DIRECTED_DNA_POLYMERASE_ACTIVITY	3.8106450902093334e-4	0.4613921166133987	GO_RNA_DIRECTED_DNA_POLYMERASE_ACTIVITY	M18385	http://amigo.geneontology.org/amigo/term/GO:0003964	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1). Catalyzes RNA-template-directed extension of the 3'- end of a DNA strand by one deoxynucleotide at a time.	GO:0003964
path1261	4	GOMF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_2_BINDING	4.2185601849460414e-4	0.4613921166133987	GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_2_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path316	19	GOMF_FRIZZLED_BINDING	4.565410415678853e-4	0.4613921166133987	GO_FRIZZLED_BINDING	M19010	http://amigo.geneontology.org/amigo/term/GO:0005109	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with the frizzled (fz) receptor.	GO:0005109
path1467	4	GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY	4.943645052537634e-4	0.4613921166133987	GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path340	8	GOMF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_BINDING	5.133102095573067e-4	0.4613921166133987	GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path954	4	GOMF_MHC_CLASS_I_PROTEIN_COMPLEX_BINDING	5.971378740088028e-4	0.5031948197499778	GO_MHC_CLASS_I_PROTEIN_COMPLEX_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path513	4	GOMF_MECHANOSENSITIVE_ION_CHANNEL_ACTIVITY	7.998315290508529e-4	0.5972029166412692	GO_MECHANOSENSITIVE_ION_CHANNEL_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path280	9	GOMF_ICOSANOID_RECEPTOR_ACTIVITY	8.229660682880895e-4	0.5972029166412692	GO_ICOSANOID_RECEPTOR_ACTIVITY	M18247	http://amigo.geneontology.org/amigo/term/GO:0004953	EntrezGeneIds	C5	MF	Gene Ontology	GO	Combining with an icosanoid to initiate a change in cell activity.	GO:0004953
path1525	3	GOMF_PROTEIN_GLUTAMIC_ACID_LIGASE_ACTIVITY	8.41577264655673e-4	0.5972029166412692	GO_PROTEIN_GLUTAMIC_ACID_LIGASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path325	3	GOMF_GROWTH_HORMONE_RECEPTOR_BINDING	0.0010112879553688108	0.6817519136756424	GO_GROWTH_HORMONE_RECEPTOR_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1262	1	GOMF_SULFATE_BINDING	0.0014660119351142392	0.9274144091640386	GO_SULFATE_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path740	6	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS_OXYGEN_AS_ACCEPTOR	0.001587850443634752	0.9274144091640386	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS_OXYGEN_AS_ACCEPTOR	NA	NA	NA	NA	NA	NA	NA	NA	NA
path227	2	GOMF_PROTEIN_ARGININE_DEIMINASE_ACTIVITY	0.0016839743183146032	0.9274144091640386	GO_PROTEIN_ARGININE_DEIMINASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path730	24	GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY	0.0016882182162493767	0.9274144091640386	GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY	M18723	http://amigo.geneontology.org/amigo/term/GO:0016538	EntrezGeneIds	C5	MF	Gene Ontology	GO	Modulates the activity of a cyclin-dependent protein serine/threonine kinase, enzymes of the protein kinase family that are regulated through association with cyclins and other proteins.	GO:0016538
path1091	11	GOMF_DEMETHYLASE_ACTIVITY	0.0017252816202224335	0.9274144091640386	GO_DEMETHYLASE_ACTIVITY	M18017	http://amigo.geneontology.org/amigo/term/GO:0032451	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the removal of a methyl group from a substrate.	GO:0032451
path796	2	GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDES	0.0017884041154156247	0.9274144091640386	GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDES	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1029	12	GOMF_L_ASCORBIC_ACID_BINDING	0.002161805858115321	1	GO_L_ASCORBIC_ACID_BINDING	M18269	http://amigo.geneontology.org/amigo/term/GO:0031418	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with L-ascorbic acid, (2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2,5-dihydrofuran-3-olate; L-ascorbic acid is vitamin C and has co-factor and anti-oxidant activities in many species.	GO:0031418
path1449	8	GOMF_INOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY	0.0022500744146623855	1	GO_INOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY	M18633	http://amigo.geneontology.org/amigo/term/GO:0052745	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the reaction: inositol phosphate(n) + H2O = inositol phosphate(n-1) + phosphate. This reaction is the removal of a phosphate group from an inositol phosphate.	GO:0052745
path39	4	GOMF_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.0025010511907724796	1	GO_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1302	16	GOMF_CXCR_CHEMOKINE_RECEPTOR_BINDING	0.0026615778174721287	1	GO_CXCR_CHEMOKINE_RECEPTOR_BINDING	M18914	http://amigo.geneontology.org/amigo/term/GO:0045236	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with a chemokine receptor in the CXCR family.	GO:0045236
path1610	5	GOMF_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY	0.0027224361793852943	1	GO_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path38	5	GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.003134065686213318	1	GO_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path681	1	GOMF_PEPTIDOGLYCAN_IMMUNE_RECEPTOR_ACTIVITY	0.0033724271484795202	1	GO_PEPTIDOGLYCAN_IMMUNE_RECEPTOR_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1476	1	GOMF_PEPTIDOGLYCAN_MURALYTIC_ACTIVITY	0.0033724271484795202	1	GO_PEPTIDOGLYCAN_MURALYTIC_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1	6	GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	0.00337350965233656	1	GO_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1210	4	GOMF_MHC_CLASS_II_PROTEIN_BINDING	0.0035547972546063704	1	GO_MHC_CLASS_II_PROTEIN_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path180	5	GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_5_PHOSPHATASE_ACTIVITY	0.0036098945760683187	1	GO_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_5_PHOSPHATASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1389	5	GOMF_LBD_DOMAIN_BINDING	0.0037743121977122022	1	GO_LBD_DOMAIN_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1535	3	GOMF_ANKYRIN_REPEAT_BINDING	0.003976380830293394	1	GO_ANKYRIN_REPEAT_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path445	7	GOMF_5S_RRNA_BINDING	0.004134775500788727	1	GO_5S_RRNA_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path28	2	GOMF_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.004147156283560701	1	GO_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path145	4	GOMF_ARYLSULFATASE_ACTIVITY	0.004166802024425406	1	GO_ARYLSULFATASE_ACTIVITY	M19040	http://amigo.geneontology.org/amigo/term/GO:0004065	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the reaction: a phenol sulfate + H2O = a phenol + sulfate.	GO:0004065
path807	4	GOMF_CARBON_NITROGEN_LYASE_ACTIVITY	0.00427660395866286	1	GO_CARBON_NITROGEN_LYASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1447	5	GOMF_INOSITOL_TETRAKISPHOSPHATE_PHOSPHATASE_ACTIVITY	0.004363223573178303	1	GO_INOSITOL_TETRAKISPHOSPHATE_PHOSPHATASE_ACTIVITY	M18218	http://amigo.geneontology.org/amigo/term/GO:0052743	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the reaction: myo-inositol tetrakisphosphate + H2O = myo-inositol trisphosphate + phosphate.	GO:0052743
path278	5	GOMF_ALPHA_ADRENERGIC_RECEPTOR_ACTIVITY	0.004402305956859671	1	GO_ALPHA_ADRENERGIC_RECEPTOR_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1173	2	GOMF_GANGLIOSIDE_BINDING	0.004616426953261208	1	GO_GANGLIOSIDE_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path281	7	GOMF_PROSTANOID_RECEPTOR_ACTIVITY	0.0046519391493266464	1	GO_PROSTANOID_RECEPTOR_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path315	4	GOMF_TYPE_1_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	0.004698495260242665	1	GO_TYPE_1_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1045	6	GOMF_OPIOID_RECEPTOR_BINDING	0.004744162995307916	1	GO_OPIOID_RECEPTOR_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path317	4	GOMF_TYPE_2_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	0.005069622054757363	1	GO_TYPE_2_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1540	8	GOMF_HMG_BOX_DOMAIN_BINDING	0.005140309074906854	1	GO_HMG_BOX_DOMAIN_BINDING	M18516	http://amigo.geneontology.org/amigo/term/GO:0071837	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with an HMG box domain, a protein domain that consists of three helices in an irregular array. HMG-box domains are found in one or more copies in HMG-box proteins, which form a large, diverse family involved in the regulation of DNA-dependent processes such as transcription, replication, and strand repair, all of which require the bending and unwinding of chromatin.	GO:0071837
path282	5	GOMF_PROSTAGLANDIN_E_RECEPTOR_ACTIVITY	0.0051697412355946925	1	GO_PROSTAGLANDIN_E_RECEPTOR_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path843	4	GOMF_GALACTOSIDE_BINDING	0.005173524014073535	1	GO_GALACTOSIDE_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path810	6	GOMF_CARBON_SULFUR_LYASE_ACTIVITY	0.005527125810442324	1	GO_CARBON_SULFUR_LYASE_ACTIVITY	M18648	http://amigo.geneontology.org/amigo/term/GO:0016846	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the elimination of hydrogen sulfide or substituted H2S.	GO:0016846
path1156	2	GOMF_UDP_XYLOSYLTRANSFERASE_ACTIVITY	0.005640026560205532	1	GO_UDP_XYLOSYLTRANSFERASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path997	2	GOMF_ACETYLCHOLINE_RECEPTOR_INHIBITOR_ACTIVITY	0.005717509611281604	1	GO_ACETYLCHOLINE_RECEPTOR_INHIBITOR_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path515	6	GOMF_ARACHIDONIC_ACID_EPOXYGENASE_ACTIVITY	0.005990405433933786	1	GO_ARACHIDONIC_ACID_EPOXYGENASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path418	7	GOMF_HYALURONIC_ACID_BINDING	0.0063765741687608415	1	GO_HYALURONIC_ACID_BINDING	M18882	http://amigo.geneontology.org/amigo/term/GO:0005540	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with hyaluronic acid, a polymer composed of repeating dimeric units of glucuronic acid and N-acetyl glucosamine.	GO:0005540
