pathways	n_tested	terms	rawp	FDR_BY	STANDARD_NAME	SYSTEMATIC_NAME	EXTERNAL_DETAILS_URL	CHIP	CATEGORY_CODE	SUB_CATEGORY_CODE	CONTRIBUTOR	CONTRIBUTOR_ORG	DESCRIPTION_BRIEF	ID
path1435	3	REACTOME_NTRK2_ACTIVATES_RAC1	3.064108436928283e-6	0.028916260602263287	REACTOME_NTRK2_ACTIVATES_RAC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1	10	REACTOME_INTERLEUKIN_6_SIGNALING	4.5499619314810145e-6	0.028916260602263287	REACTOME_INTERLEUKIN_6_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1436	4	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	6.086238003397825e-5	0.251136486377733	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1195	5	REACTOME_TRAIL_SIGNALING	7.903244948173894e-5	0.251136486377733	REACTOME_TRAIL_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1359	9	REACTOME_INTERLEUKIN_35_SIGNALLING	1.2906847412705528e-4	0.2981372037916362	REACTOME_INTERLEUKIN_35_SIGNALLING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1194	4	REACTOME_FASL_CD95L_SIGNALING	1.5171190567658712e-4	0.2981372037916362	REACTOME_FASL_CD95L_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path81	8	REACTOME_CA2_ACTIVATED_K_CHANNELS	1.6419119027665302e-4	0.2981372037916362	REACTOME_CA2_ACTIVATED_K_CHANNELS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1235	8	REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	2.1365314745938995e-4	0.339456141802188	REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1413	9	REACTOME_INTERLEUKIN_27_SIGNALING	3.330863992089433e-4	0.4704123911188766	REACTOME_INTERLEUKIN_27_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1318	5	REACTOME_RUNX3_REGULATES_WNT_SIGNALING	4.208394061731438e-4	0.5349100552427394	REACTOME_RUNX3_REGULATES_WNT_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path552	6	REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA	6.170240660941252e-4	0.659378540651647	REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA
path924	8	REACTOME_RHO_GTPASES_ACTIVATE_KTN1	6.749138658964229e-4	0.659378540651647	REACTOME_RHO_GTPASES_ACTIVATE_KTN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
path165	2	REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN	6.764348406640741e-4	0.659378540651647	REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1072	12	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST	7.285060591138097e-4	0.659378540651647	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST	NA	NA	NA	NA	NA	NA	NA	NA	NA
path425	3	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS	7.781471037179193e-4	0.659378540651647	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path574	9	REACTOME_REGULATION_BY_C_FLIP	8.316533936000066e-4	0.6606732820582825	REACTOME_REGULATION_BY_C_FLIP	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1434	5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.001059469134261893	0.7385272385005763	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	NA	NA	NA	NA	NA	NA	NA	NA	NA
path669	9	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.001097794094335058	0.7385272385005763	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	M915	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_23862	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Nitric oxide stimulates guanylate cyclase	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_23862
