# GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_bonferroni,p_sidak,p_holm,p_fdr_bh,study_items
GO:0022900,BP,e,electron transport chain,17/500,89/4382,0.027766901948511703,4,17,1.0,1.0,1.0,1.0,"1337, 1340, 1345, 1346, 1347, 1349, 1350, 1355, 2108, 4697, 6391, 6392, 6834, 7386, 9167, 9377, 374291"
GO:0051248,BP,e,negative regulation of protein metabolic process,57/500,381/4382,0.02796729032620416,6,57,1.0,1.0,1.0,1.0,"468, 493, 634, 819, 868, 871, 1028, 1031, 1293, 1487, 1595, 1845, 1846, 1847, 1848, 2029, 2192, 2280, 2619, 2810, 2873, 3303, 4763, 5201, 5204, 5580, 5611, 5728, 5918, 5936, 5976, 5997, 6992, 7531, 8434, 9052, 9425, 9636, 10252, 10418, 10519, 11142, 11146, 11221, 23450, 23560, 23636, 28996, 29108, 29761, 51347, 51547, 51582, 54517, 56288, 56925, 79706"
GO:0042059,BP,e,negative regulation of epidermal growth factor receptor signaling pathway,6/500,22/4382,0.03239353028222895,8,6,1.0,1.0,1.0,1.0,"374, 868, 1845, 9052, 10252, 23636"
GO:1901185,BP,e,negative regulation of ERBB signaling pathway,6/500,24/4382,0.048082882909657385,7,6,1.0,1.0,1.0,1.0,"374, 868, 1845, 9052, 10252, 23636"
GO:0009056,BP,p,catabolic process,40/500,718/4382,8.674842447283188e-09,2,40,0.00010109661388063828,9.854780977622526e-05,0.0001010792641957437,3.079750779981493e-05,"161, 216, 634, 1211, 1891, 2108, 2548, 3303, 4552, 5050, 5261, 5728, 5825, 5976, 6279, 6280, 6832, 6992, 7126, 7347, 8655, 8867, 8898, 9025, 9246, 9636, 10312, 10434, 10730, 23417, 23647, 26063, 29761, 51514, 54677, 55201, 55577, 55741, 64422, 79718"
GO:0044248,BP,p,cellular catabolic process,33/500,634/4382,1.0570622206904043e-08,3,33,0.00012319003119925972,0.00012008421741291318,0.00012315831933263903,3.079750779981493e-05,"161, 1211, 1891, 2108, 2548, 3303, 4552, 5261, 5825, 5976, 6279, 6280, 6832, 6992, 7126, 7347, 8655, 9025, 9246, 9636, 10312, 10730, 23417, 23647, 26063, 29761, 51514, 54677, 55201, 55577, 55741, 64422, 79718"
GO:1901575,BP,p,organic substance catabolic process,34/500,621/4382,8.419210401518286e-08,3,34,0.000981174780192941,0.0009564378259972748,0.0009805012433608195,0.00010639382780172668,"161, 216, 634, 1211, 1891, 2108, 2548, 3303, 4552, 5050, 5261, 5728, 5825, 5976, 6832, 6992, 7126, 7347, 8867, 8898, 9025, 9246, 9636, 10312, 10434, 10730, 23417, 26063, 29761, 51514, 54677, 55577, 55741, 79718"
GO:0009057,BP,p,macromolecule catabolic process,21/500,416/4382,4.600502203539432e-06,4,21,0.05361425268004854,0.05226255332988746,0.05348083811614589,0.001787141756001618,"161, 634, 1211, 2548, 3303, 5261, 5976, 6832, 6992, 7126, 7347, 9025, 9246, 9636, 10312, 10434, 10730, 29761, 51514, 55741, 79718"
GO:0044265,BP,p,cellular macromolecule catabolic process,17/500,363/4382,5.91458009392753e-06,5,17,0.06892851641463144,0.06719072047068282,0.06875107901181361,0.0022235005295042397,"161, 1211, 3303, 5976, 6832, 6992, 7126, 7347, 9025, 9246, 9636, 10312, 10730, 29761, 51514, 55741, 79718"
GO:0023056,BP,p,positive regulation of signaling,42/500,590/4382,0.0002796637203042192,4,42,1.0,1.0,1.0,0.04792942641802015,"101, 374, 537, 1028, 1847, 1848, 2280, 3265, 3303, 3383, 3430, 3554, 4204, 5293, 5364, 5580, 5728, 6275, 6279, 6280, 6352, 6363, 8322, 8434, 8655, 8915, 9026, 9693, 10519, 10758, 22926, 23286, 23636, 25805, 27032, 28996, 29108, 29110, 51347, 79718, 79726, 85458"
