pathways	n_tested	terms	rawp	FDR_BY	STANDARD_NAME	SYSTEMATIC_NAME	EXTERNAL_DETAILS_URL	CHIP	CATEGORY_CODE	SUB_CATEGORY_CODE	CONTRIBUTOR	CONTRIBUTOR_ORG	DESCRIPTION_BRIEF	GOID
path730	24	GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY	3.0740279898835936e-10	4.14466414569593e-6	GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY	M18723	http://amigo.geneontology.org/amigo/term/GO:0016538	EntrezGeneIds	C5	MF	Gene Ontology	GO	Modulates the activity of a cyclin-dependent protein serine/threonine kinase, enzymes of the protein kinase family that are regulated through association with cyclins and other proteins.	GO:0016538
path426	4	GOMF_ODORANT_BINDING	1.8016080924212424e-9	9.026476286297209e-6	GO_ODORANT_BINDING	M19181	http://amigo.geneontology.org/amigo/term/GO:0005549	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with an odorant, any substance capable of stimulating the sense of smell.	GO:0005549
path1452	5	GOMF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2.0084358909693294e-9	9.026476286297209e-6	GO_D_GLUCOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path75	2	GOMF_OPSIN_BINDING	1.2416608860760033e-8	4.1852801703239594e-5	GO_OPSIN_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path740	6	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS_OXYGEN_AS_ACCEPTOR	3.227253900626611e-8	8.702512517780272e-5	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS_OXYGEN_AS_ACCEPTOR	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1107	4	GOMF_DEHYDROASCORBIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1.406629246998449e-7	3.1608939072274054e-4	GO_DEHYDROASCORBIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1534	5	GOMF_CONNEXIN_BINDING	1.7575214577645612e-7	3.167823276842061e-4	GO_CONNEXIN_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path333	11	GOMF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING	1.879617180587192e-7	3.167823276842061e-4	GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING	M18793	http://amigo.geneontology.org/amigo/term/GO:0005159	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with the insulin-like growth factor receptor.	GO:0005159
path595	19	GOMF_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2.2343834648190677e-7	3.3473160964658176e-4	GO_CARBOHYDRATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path983	13	GOMF_CYCLIN_BINDING	2.730846979028067e-7	3.5599234969636775e-4	GO_CYCLIN_BINDING	M17994	http://amigo.geneontology.org/amigo/term/GO:0030332	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with cyclins, proteins whose levels in a cell varies markedly during the cell cycle, rising steadily until mitosis, then falling abruptly to zero. As cyclins reach a threshold level, they are thought to drive cells into G2 phase and thus to mitosis.	GO:0030332
path1612	8	GOMF_PHOSPHOLIPASE_A2_ACTIVITY_CONSUMING_1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE	3.1972391645948014e-7	3.5599234969636775e-4	GO_PHOSPHOLIPASE_A2_ACTIVITY_CONSUMING_1_2_DIPALMITOYLPHOSPHATIDYLCHOLINE	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1444	59	GOMF_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY	3.376110080432524e-7	3.5599234969636775e-4	GO_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY	M18646	http://amigo.geneontology.org/amigo/term/GO:0052689	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the hydrolysis of a carboxylic ester bond.	GO:0052689
path19	3	GOMF_Y_FORM_DNA_BINDING	3.43243633570099e-7	3.5599234969636775e-4	GO_Y_FORM_DNA_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path902	3	GOMF_NEDD8_TRANSFERASE_ACTIVITY	4.729433686786486e-7	4.2041288870772807e-4	GO_NEDD8_TRANSFERASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path887	49	GOMF_KINASE_ACTIVATOR_ACTIVITY	5.012043380544308e-7	4.2041288870772807e-4	GO_KINASE_ACTIVATOR_ACTIVITY	M18787	http://amigo.geneontology.org/amigo/term/GO:0019209	EntrezGeneIds	C5	MF	Gene Ontology	GO	Binds to and increases the activity of a kinase, an enzyme which catalyzes of the transfer of a phosphate group, usually from ATP, to a substrate molecule.	GO:0019209
path1351	7	GOMF_CALCIUM_DEPENDENT_PHOSPHOLIPASE_A2_ACTIVITY	5.209924700366465e-7	4.2041288870772807e-4	GO_CALCIUM_DEPENDENT_PHOSPHOLIPASE_A2_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path217	13	GOMF_LYSOPHOSPHOLIPASE_ACTIVITY	5.300824387697722e-7	4.2041288870772807e-4	GO_LYSOPHOSPHOLIPASE_ACTIVITY	M18143	http://amigo.geneontology.org/amigo/term/GO:0004622	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the reaction: 2-lysophosphatidylcholine + H2O = glycerophosphocholine + a carboxylate.	GO:0004622
path981	3	GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVATOR_ACTIVITY	7.060245026434358e-7	5.242688034691566e-4	GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVATOR_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path80	42	GOMF_DNA_HELICASE_ACTIVITY	7.398986862908912e-7	5.242688034691566e-4	GO_DNA_HELICASE_ACTIVITY	M19136	http://amigo.geneontology.org/amigo/term/GO:0003678	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the reaction: NTP + H2O = NDP + phosphate, to drive the unwinding of a DNA helix.	GO:0003678
path911	77	GOMF_VITAMIN_BINDING	7.776827841457643e-7	5.242688034691566e-4	GO_VITAMIN_BINDING	M18676	http://amigo.geneontology.org/amigo/term/GO:0019842	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with a vitamin, one of a number of unrelated organic substances that occur in many foods in small amounts and that are necessary in trace amounts for the normal metabolic functioning of the body.	GO:0019842
path1467	4	GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY	8.753557055131391e-7	5.620135658383172e-4	GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path980	9	GOMF_PROTEIN_TYROSINE_KINASE_ACTIVATOR_ACTIVITY	1.1253407028472355e-6	6.282691205107004e-4	GO_PROTEIN_TYROSINE_KINASE_ACTIVATOR_ACTIVITY	M19229	http://amigo.geneontology.org/amigo/term/GO:0030296	EntrezGeneIds	C5	MF	Gene Ontology	GO	Increases the activity of a protein tyrosine kinase, an enzyme which phosphorylates a tyrosyl phenolic group on a protein.	GO:0030296
path1576	12	GOMF_CULLIN_FAMILY_PROTEIN_BINDING	1.1521821745830912e-6	6.282691205107004e-4	GO_CULLIN_FAMILY_PROTEIN_BINDING	M18898	http://amigo.geneontology.org/amigo/term/GO:0097602	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with any member of the cullin family, hydrophobic proteins that act as scaffolds for ubiquitin ligases (E3).	GO:0097602
path1091	11	GOMF_DEMETHYLASE_ACTIVITY	1.161936764667814e-6	6.282691205107004e-4	GO_DEMETHYLASE_ACTIVITY	M18017	http://amigo.geneontology.org/amigo/term/GO:0032451	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of the removal of a methyl group from a substrate.	GO:0032451
path1414	35	GOMF_DIOXYGENASE_ACTIVITY	1.1649417140560335e-6	6.282691205107004e-4	GO_DIOXYGENASE_ACTIVITY	M18375	http://amigo.geneontology.org/amigo/term/GO:0051213	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of an oxidation-reduction (redox) reaction in which both atoms of oxygen from one molecule of O2 are incorporated into the (reduced) product(s) of the reaction. The two atoms of oxygen may be distributed between two different products.	GO:0051213
path260	4	GOMF_THIOREDOXIN_DISULFIDE_REDUCTASE_ACTIVITY	1.5716608472018622e-6	7.862505403947099e-4	GO_THIOREDOXIN_DISULFIDE_REDUCTASE_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path264	8	GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY	1.6244742860002196e-6	7.862505403947099e-4	GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY	M18246	http://amigo.geneontology.org/amigo/term/GO:0004861	EntrezGeneIds	C5	MF	Gene Ontology	GO	Stops, prevents or reduces the activity of a cyclin-dependent protein serine/threonine kinase.	GO:0004861
path55	2	GOMF_G_PROTEIN_COUPLED_ADENOSINE_RECEPTOR_ACTIVITY	1.6328168056956285e-6	7.862505403947099e-4	GO_G_PROTEIN_COUPLED_ADENOSINE_RECEPTOR_ACTIVITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1633	108	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	1.9553489765187415e-6	9.050996136352494e-4	GO_CATALYTIC_ACTIVITY_ACTING_ON_DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA
path665	13	GOMF_ORGANOPHOSPHATE_ESTER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2.0759511593486126e-6	9.050996136352494e-4	GO_ORGANOPHOSPHATE_ESTER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	M18780	http://amigo.geneontology.org/amigo/term/GO:0015605	EntrezGeneIds	C5	MF	Gene Ontology	GO	Enables the transfer of organophosphate esters from one side of a membrane to the other. Organophosphate esters are small organic molecules containing phosphate ester bonds.	GO:0015605
path495	13	GOMF_DNA_BINDING_BENDING	2.081632002306409e-6	9.050996136352494e-4	GO_DNA_BINDING_BENDING	M17927	http://amigo.geneontology.org/amigo/term/GO:0008301	EntrezGeneIds	C5	MF	Gene Ontology	GO	The activity of binding selectively and non-covalently to and distorting the original structure of DNA, typically a straight helix, into a bend, or increasing the bend if the original structure was intrinsically bent due to its sequence.	GO:0008301
path245	52	GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	2.2152243520487817e-6	9.050996136352494e-4	GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	M18098	http://amigo.geneontology.org/amigo/term/GO:0004714	EntrezGeneIds	C5	MF	Gene Ontology	GO	Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate.	GO:0004714
path1126	4	GOMF_DYNACTIN_BINDING	2.2152808475836932e-6	9.050996136352494e-4	GO_DYNACTIN_BINDING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1139	2	GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING	2.3448222340152444e-6	9.257195366700875e-4	GO_IMMUNOGLOBULIN_RECEPTOR_BINDING	M18357	http://amigo.geneontology.org/amigo/term/GO:0034987	EntrezGeneIds	C5	MF	Gene Ontology	GO	Interacting selectively and non-covalently with one or more specific sites on an immunoglobulin receptor molecule.	GO:0034987
path755	12	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN	2.492779493037446e-6	9.257195366700875e-4	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN	M18671	http://amigo.geneontology.org/amigo/term/GO:0016701	EntrezGeneIds	C5	MF	Gene Ontology	GO	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and molecular oxygen is incorporated into a donor.	GO:0016701
