pathways	n_tested	terms	rawp	FDR_BY	STANDARD_NAME	SYSTEMATIC_NAME	EXTERNAL_DETAILS_URL	CHIP	CATEGORY_CODE	SUB_CATEGORY_CODE	CONTRIBUTOR	CONTRIBUTOR_ORG	DESCRIPTION_BRIEF	GOID
path2355	6	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	1.6444348494216962e-10	1.1612966499195875e-5	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path6709	14	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	9.73567765328275e-10	3.437658186163553e-5	GO_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	M14229	http://amigo.geneontology.org/amigo/term/GO:1902547	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that modulates the frequency, rate or extent of cellular response to vascular endothelial growth factor stimulus.	GO:1902547
path6710	9	GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	3.93564596402378e-9	8.263106111643762e-5	GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1701	13	GOBP_NEGATIVE_REGULATION_OF_GLIOGENESIS	4.680333713318574e-9	8.263106111643762e-5	GO_NEGATIVE_REGULATION_OF_GLIOGENESIS	M10717	http://amigo.geneontology.org/amigo/term/GO:0014014	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that stops, prevents, or reduces the frequency, rate or extent of gliogenesis, the formation of mature glia.	GO:0014014
path2334	23	GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	1.0956133806988398e-8	1.475924464049126e-4	GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	M14860	http://amigo.geneontology.org/amigo/term/GO:0030857	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that stops, prevents, or reduces the frequency, rate or extent of epithelial cell differentiation.	GO:0030857
path5486	8	GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_REGENERATION	1.3046634085815363e-8	1.475924464049126e-4	GO_POSITIVE_REGULATION_OF_NEURON_PROJECTION_REGENERATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1753	8	GOBP_SKELETAL_MUSCLE_CELL_PROLIFERATION	1.5392660456853803e-8	1.475924464049126e-4	GO_SKELETAL_MUSCLE_CELL_PROLIFERATION	NA	NA	NA	NA	NA	NA	NA	NA	NA
path5383	18	GOBP_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY	1.671966675501548e-8	1.475924464049126e-4	GO_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY	NA	NA	NA	NA	NA	NA	NA	NA	NA
path4269	5	GOBP_BEHAVIORAL_RESPONSE_TO_COCAINE	2.0333424621365857e-8	1.4806649472928166e-4	GO_BEHAVIORAL_RESPONSE_TO_COCAINE	M14731	http://amigo.geneontology.org/amigo/term/GO:0048148	EntrezGeneIds	C5	BP	Gene Ontology	GO	Any process that results in a change in the behavior of an organism as a result of a cocaine stimulus.	GO:0048148
path3771	5	GOBP_MODULATION_OF_MOLECULAR_FUNCTION_IN_OTHER_ORGANISM	2.096671027005929e-8	1.4806649472928166e-4	GO_MODULATION_OF_MOLECULAR_FUNCTION_IN_OTHER_ORGANISM	NA	NA	NA	NA	NA	NA	NA	NA	NA
path3854	10	GOBP_PROTEIN_NEDDYLATION	2.3100425353263824e-8	1.4830431690640447e-4	GO_PROTEIN_NEDDYLATION	M11286	http://amigo.geneontology.org/amigo/term/GO:0045116	EntrezGeneIds	C5	BP	Gene Ontology	GO	Covalent attachment of the ubiquitin-like protein NEDD8 (RUB1) to another protein.	GO:0045116
