pathways	n_tested	terms	rawp	FDR_BY	STANDARD_NAME	SYSTEMATIC_NAME	EXTERNAL_DETAILS_URL	CHIP	CATEGORY_CODE	SUB_CATEGORY_CODE	CONTRIBUTOR	CONTRIBUTOR_ORG	DESCRIPTION_BRIEF	GOID
path431	3	GOCC_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX	6.879020122251127e-10	5.009386299955338e-6	GO_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path565	5	GOCC_SEH1_ASSOCIATED_COMPLEX	7.682093260558302e-9	2.7970969738802532e-5	GO_SEH1_ASSOCIATED_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path453	3	GOCC_TORC2_COMPLEX	2.5111083835641974e-8	4.4013775607279316e-5	GO_TORC2_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path410	5	GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX	2.8742738232376525e-8	4.4013775607279316e-5	GO_CD95_DEATH_INDUCING_SIGNALING_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path409	8	GOCC_DEATH_INDUCING_SIGNALING_COMPLEX	3.022043319572096e-8	4.4013775607279316e-5	GO_DEATH_INDUCING_SIGNALING_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path73	3	GOCC_FEMALE_GERM_CELL_NUCLEUS	6.201785850957547e-8	7.527026748221668e-5	GO_FEMALE_GERM_CELL_NUCLEUS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path337	99	GOCC_MIDBODY	1.5241821819625772e-7	1.585611489773962e-4	GO_MIDBODY	M17533	http://amigo.geneontology.org/amigo/term/GO:0030496	EntrezGeneIds	C5	CC	Gene Ontology	GO	A thin cytoplasmic bridge formed between daughter cells at the end of cytokinesis. The midbody forms where the contractile ring constricts, and may persist for some time before finally breaking to complete cytokinesis.	GO:0030496
path674	36	GOCC_INTERCELLULAR_BRIDGE	1.7760452099740023e-7	1.6166722121815807e-4	GO_INTERCELLULAR_BRIDGE	M17663	http://amigo.geneontology.org/amigo/term/GO:0045171	EntrezGeneIds	C5	CC	Gene Ontology	GO	A direct connection between the cytoplasm of two cells that is formed following the completion of cleavage furrow ingression during cell division. They are usually present only briefly prior to completion of cytokinesis. However, in some cases, such as the bridges between germ cells during their development, they become stabilised.	GO:0045171
path583	4	GOCC_TOR_COMPLEX	2.508024318414946e-7	1.8782928159582194e-4	GO_TOR_COMPLEX	M17653	http://amigo.geneontology.org/amigo/term/GO:0038201	EntrezGeneIds	C5	CC	Gene Ontology	GO	A protein complex that contains at least TOR (target of rapamycin) in complex with other signaling components. Mediates the phosphorylation and activation of downstream signaling components including PKB (AKT) or S6K.	GO:0038201
path736	13	GOCC_SAGA_TYPE_COMPLEX	2.5793207596250905e-7	1.8782928159582194e-4	GO_SAGA_TYPE_COMPLEX	M17396	http://amigo.geneontology.org/amigo/term/GO:0070461	EntrezGeneIds	C5	CC	Gene Ontology	GO	A histone acetyltransferase complex that acetylates nucleosomal H3 and H2B and is required for the expression of a subset of Pol II-transcribed genes. The budding yeast complex includes the acetyltransferase Gcn5p, several proteins of the Spt and Ada families, and several TBP-associate proteins (TAFs); analogous complexes in other species have analogous compositions, and usually contain homologs of the yeast proteins.	GO:0070461
path173	190	GOCC_SPINDLE	3.9751903048557546e-7	2.3204921878620239e-4	GO_SPINDLE	M17721	http://amigo.geneontology.org/amigo/term/GO:0005819	EntrezGeneIds	C5	CC	Gene Ontology	GO	The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart.	GO:0005819
path581	5	GOCC_DERLIN_1_RETROTRANSLOCATION_COMPLEX	4.0328342886019276e-7	2.3204921878620239e-4	GO_DERLIN_1_RETROTRANSLOCATION_COMPLEX	M17821	http://amigo.geneontology.org/amigo/term/GO:0036513	EntrezGeneIds	C5	CC	Gene Ontology	GO	A protein complex that functions in the retrotranslocation step of ERAD (ER-associated protein degradation), and includes at its core Derlin-1 oligomers forming a retrotranslocation channel.	GO:0036513
path753	6	GOCC_CONTRACTILE_RING	4.5179716451399594e-7	2.3204921878620239e-4	GO_CONTRACTILE_RING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path791	10	GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	4.714661193483031e-7	2.3204921878620239e-4	GO_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	M17638	http://amigo.geneontology.org/amigo/term/GO:0080008	EntrezGeneIds	C5	CC	Gene Ontology	GO	A ubiquitin ligase complex in which a cullin from the Cul4 family and a RING domain protein form the catalytic core; substrate specificity is conferred by an adaptor protein.	GO:0080008
path11	8	GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	5.261228878234869e-7	2.3204921878620239e-4	GO_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	M17051	http://amigo.geneontology.org/amigo/term/GO:0000153	EntrezGeneIds	C5	CC	Gene Ontology	GO	A ubiquitin ligase complex found in the cytoplasm.	GO:0000153
path531	76	GOCC_NUCLEAR_PERIPHERY	5.281433810679911e-7	2.3204921878620239e-4	GO_NUCLEAR_PERIPHERY	M17642	http://amigo.geneontology.org/amigo/term/GO:0034399	EntrezGeneIds	C5	CC	Gene Ontology	GO	The portion of the nuclear lumen proximal to the inner nuclear membrane.	GO:0034399
path430	7	GOCC_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX	5.569867772853493e-7	2.3204921878620239e-4	GO_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX	NA	NA	NA	NA	NA	NA	NA	NA	NA
path631	7	GOCC_COMPACT_MYELIN	5.735808878853902e-7	2.3204921878620239e-4	GO_COMPACT_MYELIN	M17251	http://amigo.geneontology.org/amigo/term/GO:0043218	EntrezGeneIds	C5	CC	Gene Ontology	GO	The portion of the myelin sheath in which layers of cell membrane are tightly juxtaposed, completely excluding cytoplasm. The juxtaposed cytoplasmic surfaces form the major dense line, while the juxtaposed extracellular surfaces form the interperiod line visible in electron micrographs.	GO:0043218
path33	57	GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	9.355496239912285e-7	3.342292632298112e-4	GO_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	M17499	http://amigo.geneontology.org/amigo/term/GO:0000779	EntrezGeneIds	C5	CC	Gene Ontology	GO	The region of a condensed chromosome that includes the centromere and associated proteins, including the kinetochore. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome.	GO:0000779
path795	17	GOCC_FLEMMING_BODY	9.917562294631234e-7	3.342292632298112e-4	GO_FLEMMING_BODY	NA	NA	NA	NA	NA	NA	NA	NA	NA
