pathways	n_tested	terms	rawp	FDR_BY	STANDARD_NAME	SYSTEMATIC_NAME	EXTERNAL_DETAILS_URL	CHIP	CATEGORY_CODE	SUB_CATEGORY_CODE	CONTRIBUTOR	CONTRIBUTOR_ORG	DESCRIPTION_BRIEF	ID
path1	10	REACTOME_INTERLEUKIN_6_SIGNALING	1.1099680763034446e-9	1.4108305360759781e-5	REACTOME_INTERLEUKIN_6_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path77	30	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	1.3540410156049555e-7	3.62390065281164e-4	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	M590	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_118595	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Mitochondrial Protein Import	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_118595
path305	9	REACTOME_CELLULAR_HEXOSE_TRANSPORT	1.5686362678734152e-7	3.62390065281164e-4	REACTOME_CELLULAR_HEXOSE_TRANSPORT	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1353	11	REACTOME_METABOLISM_OF_COFACTORS	1.9217186584823795e-7	3.62390065281164e-4	REACTOME_METABOLISM_OF_COFACTORS	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1513	3	REACTOME_N_GLYCAN_TRIMMING_AND_ELONGATION_IN_THE_CIS_GOLGI	1.9457702740390666e-7	3.62390065281164e-4	REACTOME_N_GLYCAN_TRIMMING_AND_ELONGATION_IN_THE_CIS_GOLGI	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1043	16	REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING	2.1089238604097033e-7	3.62390065281164e-4	REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path1501	14	REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	2.294691378544935e-7	3.62390065281164e-4	REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	NA	NA	NA	NA	NA	NA	NA	NA	NA
path502	7	REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES	2.6455676859364903e-7	3.62390065281164e-4	REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES	NA	NA	NA	NA	NA	NA	NA	NA	NA
path657	26	REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	3.0538786541319717e-7	3.62390065281164e-4	REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	M3871	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_16907	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Association of TriC/CCT with target proteins during biosynthesis	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_16907
path1126	166	REACTOME_CELL_CYCLE_CHECKPOINTS	3.5201570456222953e-7	3.62390065281164e-4	REACTOME_CELL_CYCLE_CHECKPOINTS	M16647	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_1538	EntrezGeneIds	C2	CP:REACTOME	Reactome	Reactome	Genes involved in Cell Cycle Checkpoints	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=REACT_1538
path876	26	REACTOME_SIGNALING_BY_RETINOIC_ACID	4.137406677463829e-7	3.62390065281164e-4	REACTOME_SIGNALING_BY_RETINOIC_ACID	NA	NA	NA	NA	NA	NA	NA	NA	NA
