symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
CCDC59,-0.3978357942488335,6.944888708747358,-6.072290748929735,2.153172369563946e-9,7.559080509837577e-6,11.015424240907146
COX7A2,-0.3747657847498435,8.770264165217764,-6.047122147621717,2.496709357010126e-9,7.559080509837577e-6,10.876965085992913
MYH7B,-0.119908929914748,3.3479291317839883,-6.042350426670702,2.5676224557872205e-9,7.559080509837577e-6,10.85077217498277
PHF15,0.4748610820776985,6.250057464207159,5.955943636680422,4.249896768425016e-9,9.383772064682434e-6,10.379651451000091
REG3A,-0.15172484322204652,3.180530296527893,-5.8891427397993645,6.247973995913234e-9,1.1020436148594453e-5,10.01957651804556
MB,-0.6159582713507462,6.978088760490725,-5.857567079640973,7.486709340077754e-9,1.1020436148594453e-5,9.850638389940675
CDKN3,-0.6435674143803574,5.071092007426296,-5.822826839716699,9.126441527259481e-9,1.1514961652679392e-5,9.665708164675538
NUCKS1,-0.4900516637566295,6.538001326106052,-5.730906478438911,1.533849909841268e-8,1.681871857603702e-5,9.181155681946846
FOXL2,-0.19477685295805006,2.939343468457947,-5.703868537113095,1.7845412133236953e-8,1.681871857603702e-5,9.039945738729308
RBBP8,0.6165126045606186,7.1249042196017625,5.692234477242453,1.904293317033177e-8,1.681871857603702e-5,8.979369943005137
LRP12,-0.4061967701080677,3.570919679827753,-5.619350246381338,2.8531773150653976e-8,2.1373929908860638e-5,8.602416145850121
MRPL13,-0.5848086506161625,7.440991468032499,-5.589787807629495,3.3573911299508635e-8,2.1373929908860638e-5,8.450770562270039
AURKA,-0.6901121760881513,5.625202709549005,-5.58925371269508,3.367253761740038e-8,2.1373929908860638e-5,8.448037477511278
ENY2,-0.49832957245890597,8.047438611910081,-5.5881310062050655,3.3880776576545395e-8,2.1373929908860638e-5,8.442293103647136
IFNA8,0.1615595778671027,3.467139362619882,5.565379613149797,3.838077068729667e-8,2.259859778068028e-5,8.326109482081248
MARS,-0.34148130393159465,7.2239621306534225,-5.540293780591251,4.4016227630912886e-8,2.427826733187337e-5,8.198501795954813
RNF7,-0.3674587388653562,7.375630201500217,-5.529303515500803,4.673126637702076e-8,2.427826733187337e-5,8.142760464149681
MTHFD2,-0.457334899155638,8.243716187407593,-5.507988507653269,5.2468343899019876e-8,2.574446740645242e-5,8.0349390920732
INPP1,0.42917139203363913,5.687625303233918,5.471405171185038,6.394758731911235e-8,2.972553111591581e-5,7.850763628533539
DERL1,-0.47658979960630043,7.162775184278606,-5.4460155021950944,7.331146063100878e-8,3.1178173304657394e-5,7.723596578771458
F13B,0.13310903525285142,3.4004105908292726,5.443940849870371,7.413288489558484e-8,3.1178173304657394e-5,7.7132291888167615
DCUN1D1,-0.40015979698169046,6.460252929739885,-5.426992727356618,8.118627431321874e-8,3.2592598851561265e-5,7.628670987879564
HCRT,-0.12520132622989158,3.2672442609545325,-5.401441405254102,9.306623332358049e-8,3.551136333503831e-5,7.5016425770530475
MYEF2,0.1896934571116406,3.6712043595863695,5.394648498942294,9.649826993216932e-8,3.551136333503831e-5,7.4679634116663305
AQP1,0.7180204601933639,6.389025999373316,5.370153174906789,1.0992392463717347e-7,3.883392409582064e-5,7.346836266668857
IMPAD1,-0.4344064280477064,6.233598781506405,-5.36005213754037,1.1597296912292003e-7,3.939512551129345e-5,7.297033771428632
UQCRB,-0.46254812758339797,6.392326134770213,-5.308725514908046,1.5205210204649995e-7,4.9737932047210646e-5,7.0452923702414605
S100P,-1.2601458942589714,7.537663184187034,-5.300447765301935,1.5880842406827565e-7,5.0092714334678954e-5,7.004899522895981
ID1,0.5735654346850586,5.48199483129487,5.257782044626971,1.9851426108616818e-7,6.045786047975991e-5,6.797617476385197
ABAT,0.8596702662423934,6.39504901009289,5.23046315601882,2.2882117608316835e-7,6.736495423888476e-5,6.6656991774961725
SLC2A2,0.12392585797521632,3.0946609000729017,5.193630771011799,2.7685518620946994e-7,7.887693563232381e-5,6.488837882450758
ARMC4,0.15605859589570537,3.2231247206316738,5.1840943285501995,2.908023116454842e-7,8.026143801415364e-5,6.443232548659402
HRASLS,-0.6091259785701599,4.297528323014919,-5.141744655318182,3.6139476978687907e-7,9.672238202296109e-5,6.241636053949989
ENPP2,0.7366423191703743,6.255074537579211,5.128845217166746,3.8601017858655174e-7,9.797562491741157e-5,6.180532629196337
COX6B1,-0.3145298871828739,9.94759678638986,-5.123901184083706,3.9586815149310063e-7,9.797562491741157e-5,6.157150576402385
GUCA2B,0.12133546504695994,3.263846423935089,5.121728090399451,4.002777417869749e-7,9.797562491741157e-5,6.146879813360432
SORBS2,0.7049299098016912,6.306946320981993,5.112340712709128,4.198783408276593e-7,9.797562491741157e-5,6.102557940552053
CCNE2,-0.5723289459416759,4.939036313014282,-5.11034272640544,4.241682887965104e-7,9.797562491741157e-5,6.093134225689642
OR12D3,0.12515799512607242,3.4953273785733563,5.106455288950823,4.326369306815049e-7,9.797562491741157e-5,6.074808414866791
CRX,0.1799844761164715,3.53627896486733,5.075092195890244,5.072054297047288e-7,1.1199095887880412e-4,5.9274283900995535
