MoleculeType	Identifier	MoleculeName	
Proteins	P07947	UniProt:P07947 YES1	
Proteins	P06241	UniProt:P06241 FYN	
Proteins	P12931	UniProt:P12931 SRC	
Proteins	P01133	UniProt:P01133 EGF	
Proteins	P00533	UniProt:P00533 EGFR	
Proteins	P04626	UniProt:P04626 ERBB2	
Proteins	O14511	UniProt:O14511 NRG2	
Proteins	P56975	UniProt:P56975 NRG3	
Proteins	Q8WWG1	UniProt:Q8WWG1 NRG4	
Proteins	Q02297	UniProt:Q02297 NRG1	
Proteins	Q99075	UniProt:Q99075 HBEGF	
Proteins	O14944	UniProt:O14944 EREG	
Proteins	P35070	UniProt:P35070 BTC	
Proteins	Q15303-2	UniProt:Q15303-2 ERBB4	
Proteins	Q15303-1	UniProt:Q15303-1 ERBB4	
Proteins	Q15303-3	UniProt:Q15303-3 ERBB4	
Proteins	P21860-1	UniProt:P21860-1 ERBB3	
Proteins	Q02297-10	UniProt:Q02297-10 NRG1	
Proteins	Q13882	UniProt:Q13882 PTK6	
Proteins	Q9Y316	UniProt:Q9Y316 MEMO1	
Proteins	O60610	UniProt:O60610 DIAPH1	
Proteins	P61586	UniProt:P61586 RHOA	
Proteins	Q14451	UniProt:Q14451 GRB7	
Proteins	Q16543	UniProt:Q16543 CDC37	
Proteins	Q96RT1	UniProt:Q96RT1 ERBIN	
Proteins	P07900	UniProt:P07900 HSP90AA1	
Proteins	Q9UNE7	UniProt:Q9UNE7 STUB1	
Proteins	P0CG48	UniProt:P0CG48 UBC	
Proteins	P0CG47	UniProt:P0CG47 UBB	
Proteins	P62987	UniProt:P62987 UBA52	
Proteins	P62979	UniProt:P62979 RPS27A	
Proteins	Q93034	UniProt:Q93034 CUL5	
Proteins	P42679	UniProt:P42679 MATK	
Proteins	Q9H4P4	UniProt:Q9H4P4 RNF41	
Proteins	Q9Y243	UniProt:Q9Y243 AKT3	
Proteins	P31751	UniProt:P31751 AKT2	
Proteins	P31749	UniProt:P31749 AKT1	
Proteins	P40818	UniProt:P40818 USP8	
Proteins	Q99952	UniProt:Q99952 PTPN18	
Proteins	Q05209	UniProt:Q05209 PTPN12	
Proteins	P19174	UniProt:P19174 PLCG1	
Proteins	P42336	UniProt:P42336 PIK3CA	
Proteins	P27986	UniProt:P27986 PIK3R1	
Proteins	Q13480	UniProt:Q13480 GAB1	
Proteins	P62993-1	UniProt:P62993-1 GRB2	
Proteins	P29353	UniProt:P29353 SHC1	
Proteins	Q07889	UniProt:Q07889 SOS1	
Proteins	Q02156	UniProt:Q02156 PRKCE	
Proteins	Q05655	UniProt:Q05655 PRKCD	
Proteins	P17252	UniProt:P17252 PRKCA	
Proteins	P29353-1	UniProt:P29353-1 SHC1	
Proteins	P29353-2	UniProt:P29353-2 SHC1	
Proteins	P01116-2	UniProt:P01116-2 KRAS	
Proteins	P01111	UniProt:P01111 NRAS	
Proteins	P01116-1	UniProt:P01116-1 KRAS	
Proteins	P01112	UniProt:P01112 HRAS	
