MoleculeType	Identifier	MoleculeName	
DNA/RNA	ENSG00000170345	ENSEMBL:ENSG00000170345 FOS	
DNA/RNA	ENSG00000110092	ENSEMBL:ENSG00000110092 CCND1	
DNA/RNA	ENSG00000171791	ENSEMBL:ENSG00000171791 BCL2	
DNA/RNA	ENSG00000117984	ENSEMBL:ENSG00000117984 CTSD	
DNA/RNA	ENSG00000082175	ENSEMBL:ENSG00000082175 PGR	
DNA/RNA	ENSG00000196208	ENSEMBL:ENSG00000196208 GREB1	
DNA/RNA	ENST00000381486.6	ENSEMBL:ENST00000381486.6 GREB1	
DNA/RNA	ENSG00000103126	ENSEMBL:ENSG00000103126 AXIN1	
DNA/RNA	ENSG00000153922	ENSEMBL:ENSG00000153922 CHD1	
DNA/RNA	ENST00000284049.7	ENSEMBL:ENST00000284049.7 CHD1	
DNA/RNA	ENSG00000118513	ENSEMBL:ENSG00000118513 MYB	
DNA/RNA	ENSG00000136997	ENSEMBL:ENSG00000136997 MYC	
DNA/RNA	ENSG00000127663	ENSEMBL:ENSG00000127663 KDM4B	
DNA/RNA	MI0000750	miRBase:MI0000750 MIR26A2	
DNA/RNA	MI0000083	miRBase:MI0000083 MIR26A1	
DNA/RNA	MI0000084	miRBase:MI0000084 MIR26B	
DNA/RNA	ENSG00000107562	ENSEMBL:ENSG00000107562 CXCL12	
DNA/RNA	ENSG00000171604	ENSEMBL:ENSG00000171604 CXXC5	
DNA/RNA	ENSG00000168301	ENSEMBL:ENSG00000168301 KCTD6	
DNA/RNA	ENSG00000119927	ENSEMBL:ENSG00000119927 GPAM	
DNA/RNA	ENSG00000163235	ENSEMBL:ENSG00000163235 TGFA	
DNA/RNA	ENSG00000147654	ENSEMBL:ENSG00000147654 EBAG9	
DNA/RNA	ENSG00000160182	ENSEMBL:ENSG00000160182 TFF1	
DNA/RNA	ENSG00000160180	ENSEMBL:ENSG00000160180 TFF3	
DNA/RNA	ENST00000330459.7	ENSEMBL:ENST00000330459.7 KPNA2	
DNA/RNA	ENSG00000182481	ENSEMBL:ENSG00000182481 KPNA2	
