Approved symbol,NCBI Gene ID,Ensembl gene ID,alt
A1BG-AS1,503538,ENSG00000268895,NCRNA00181
A1BG-AS1,503538,ENSG00000268895,A1BGAS
A1BG-AS1,503538,ENSG00000268895,A1BG-AS
A1BG-AS1,503538,ENSG00000268895,FLJ23569
A1BG-AS1,503538,ENSG00000268895,A1BG-AS1
A1CF,29974,ENSG00000148584,ACF
A1CF,29974,ENSG00000148584,ASP
A1CF,29974,ENSG00000148584,ACF64
A1CF,29974,ENSG00000148584,ACF65
A1CF,29974,ENSG00000148584,APOBEC1CF
A1CF,29974,ENSG00000148584,A1CF
A2M,2,ENSG00000175899,FWP007
A2M,2,ENSG00000175899,S863-7
A2M,2,ENSG00000175899,CPAMD5
A2M,2,ENSG00000175899,A2M
A2ML1,144568,ENSG00000166535,CPAMD9
A2ML1,144568,ENSG00000166535,FLJ25179
A2ML1,144568,ENSG00000166535,p170
A2ML1,144568,ENSG00000166535,A2ML1
A2MP1,3,ENSG00000256069,A2MP
A2MP1,3,ENSG00000256069,A2MP1
A3GALT2,127550,ENSG00000184389,A3GALT2P
A3GALT2,127550,ENSG00000184389,IGBS3S
A3GALT2,127550,ENSG00000184389,IGB3S
A3GALT2,127550,ENSG00000184389,A3GALT2
A4GALT,53947,ENSG00000128274,P1
A4GALT,53947,ENSG00000128274,A14GALT
A4GALT,53947,ENSG00000128274,Gb3S
A4GALT,53947,ENSG00000128274,P(k)
A4GALT,53947,ENSG00000128274,A4GALT
A4GNT,51146,ENSG00000118017,alpha4GnT
A4GNT,51146,ENSG00000118017,A4GNT
AACS,65985,ENSG00000081760,FLJ12389
AACS,65985,ENSG00000081760,SUR-5
AACS,65985,ENSG00000081760,ACSF1
AACS,65985,ENSG00000081760,AACS
AACSP1,729522,ENSG00000250420,AACSL
AACSP1,729522,ENSG00000250420,AACSP1
AADAC,13,ENSG00000114771,DAC
AADAC,13,ENSG00000114771,CES5A1
AADAC,13,ENSG00000114771,AADAC
