run 0
val: ['study_25065_GPL96_MDACC-bmc15', 'study_20194_GPL96_all-bmc15', 'study_22226_GPL1708_all-bmc15']
(1765, 23475) (460, 23475)
(1765, 8836) (460, 8836)
(1765, 4) (460, 4)
(1765, 4) (460, 4)
full:  0.5130434782608696 0.38627518315018317 0.5555555555555556
oleg:  0.42391304347826086 0.3785866910866911 0.4418879731379731
trea:  0.45217391304347826 0.5157967032967034 0.5
rand:  0.4652173913043478 0.5134119352869353 0.49217796092796096
run 1
val: ['study_19615_GPL570_all-bmc15', 'study_25065_GPL96_USO-bmc15', 'study_20194_GPL96_all-bmc15']
(1800, 23475) (425, 23475)
(1800, 8836) (425, 8836)
(1800, 4) (425, 4)
(1800, 4) (425, 4)
full:  0.5247058823529411 0.429386845039019 0.560479375696767
oleg:  0.52 0.40894091415830547 0.5518394648829432
trea:  0.4588235294117647 0.4578149386845039 0.5
rand:  0.4894117647058824 0.5420289855072464 0.5161649944258639
run 2
val: ['study_16391_GPL570_all-bmc15', 'study_17705_GPL96_MDACC_Tissue_BC_Tamoxifen-bmc15', 'study_25055_GPL96_MDACC_M-bmc15']
(1761, 23475) (464, 23475)
(1761, 8836) (464, 8836)
(1761, 4) (464, 4)
(1761, 4) (464, 4)
full:  0.5646551724137931 0.5732317908717193 0.5186571097291031
oleg:  0.5474137931034483 0.5551544218404132 0.5108042584589438
trea:  0.48060344827586204 0.44766522609887216 0.45422683672393804
rand:  0.5862068965517241 0.5216348687677874 0.5193422578264995
run 3
val: ['study_16391_GPL570_all-bmc15', 'study_20194_GPL96_all-bmc15', 'study_19615_GPL570_all-bmc15']
(1806, 23475) (419, 23475)
(1806, 8836) (419, 8836)
(1806, 4) (419, 4)
(1806, 4) (419, 4)
full:  0.4033412887828162 0.2982976765585461 0.43294225902921557
oleg:  0.5178997613365155 0.3766505636070853 0.5575684380032206
trea:  0.4510739856801909 0.4798826777087647 0.5
rand:  0.513126491646778 0.5328732459167241 0.5390729238555325
run 4
val: ['study_1379_GPL1223_all-bmc15', 'study_22226_GPL1708_all-bmc15', 'study_19615_GPL570_all-bmc15']
(1927, 23475) (298, 23475)
(1927, 8836) (298, 8836)
(1927, 4) (298, 4)
(1927, 4) (298, 4)
full:  0.7080536912751678 0.6382467994310098 0.6050260787102892
oleg:  0.5167785234899329 0.6050853485064012 0.5934684684684685
trea:  0.33557046979865773 0.3752370791844476 0.41559981033665244
rand:  0.5637583892617449 0.4871384542437175 0.47789236605026086
run 5
val: ['study_9893_GPL5049_all-bmc15', 'study_25065_GPL96_USO-bmc15', 'study_32646_GPL570_all-bmc15']
(1908, 23475) (317, 23475)
(1908, 8836) (317, 8836)
(1908, 4) (317, 4)
(1908, 4) (317, 4)
full:  0.6340694006309149 0.6803638394638156 0.633846644857576
oleg:  0.5205047318611987 0.5305593233862603 0.5134445065028326
trea:  0.5236593059936908 0.6109072049788559 0.5
rand:  0.5362776025236593 0.47199393600893635 0.5231189659299449
run 6
val: ['study_22358_GPL5325_all-bmc15', 'study_22226_GPL1708_all-bmc15', 'study_9893_GPL5049_all-bmc15']
(1827, 23475) (398, 23475)
(1827, 8836) (398, 8836)
(1827, 4) (398, 4)
(1827, 4) (398, 4)
full:  0.6633165829145728 0.676418439716312 0.6611702127659574
oleg:  0.4547738693467337 0.4436930091185411 0.45881458966565347
trea:  0.5276381909547738 0.5697061803444782 0.5
rand:  0.47738693467336685 0.5052178318135765 0.4635258358662614
run 7
val: ['study_9893_GPL5049_all-bmc15', 'study_25065_GPL96_USO-bmc15', 'study_25065_GPL96_MDACC-bmc15']
(1952, 23475) (273, 23475)
(1952, 8836) (273, 8836)
(1952, 4) (273, 4)
(1952, 4) (273, 4)
full:  0.47619047619047616 0.4380687219883199 0.44122640228167875
oleg:  0.5274725274725275 0.5567703381773733 0.544309384761646
trea:  0.43223443223443225 0.3795327991307891 0.3898546787994024
rand:  0.5897435897435898 0.4980306940105935 0.502139073747114
run 8
val: ['study_25055_GPL96_MDACC_M-bmc15', 'study_9893_GPL5049_all-bmc15', 'study_32646_GPL570_all-bmc15']
(1741, 23475) (484, 23475)
(1741, 8836) (484, 8836)
(1741, 4) (484, 4)
(1741, 4) (484, 4)
full:  0.5165289256198347 0.4957427536231884 0.5227898550724638
oleg:  0.4194214876033058 0.42849637681159425 0.4318478260869565
trea:  0.47107438016528924 0.5159420289855073 0.5186956521739131
rand:  0.5702479338842975 0.537608695652174 0.5156884057971014
run 9
val: ['study_17705_GPL96_MDACC_Tissue_BC_Tamoxifen-bmc15', 'study_9893_GPL5049_all-bmc15', 'study_20181_GPL96_all-bmc15']
(1829, 23475) (396, 23475)
(1829, 8836) (396, 8836)
(1829, 4) (396, 4)
(1829, 4) (396, 4)
full:  0.5404040404040404 0.5431705484598046 0.5279338842975208
oleg:  0.5883838383838383 0.5464763335837716 0.47917355371900827
trea:  0.6944444444444444 0.5188429752066115 0.5
rand:  0.6136363636363636 0.5387828700225394 0.5390082644628099
run 10
val: ['study_17705_GPL96_MDACC_Tissue_BC_Tamoxifen-bmc15', 'study_1379_GPL1223_all-bmc15', 'study_12093_GPL96_all-bmc15']
