-212 and(or(and($RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-211 and(or(and($RHOBTB1 !$FOS $RAD50 !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-214 and(or(and($RHOBTB1 !$FOS !$RBM23) $CREB3 !$IFIT1) $postmenopausal_only) 
-214 and(or(and($RHOBTB1 !$FOS) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-214 and(or(and($RHOBTB1 !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-213 and(or(and(!$SGK2 $RHOBTB1 !$FOS) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-213 and(or(and(!$CLINT1 $CREB3) and($RHOBTB1 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-213 and(or(and($RHOBTB1 $GP1BB !$FOS) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-213 and(or(and($RHOBTB1 !$FOS !$RBM23) and($CREB3 $BTG1) !$IFIT1) $postmenopausal_only) 
-213 and(or(and($RHOBTB1 $RAD50 !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($C9 $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($OR12D3 $ICT1 $CREB3) and($RHOBTB1 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-212 and(or(and(!$TSPAN32 $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
-212 and(or(and(!$TSPAN32 $ICT1 $CREB3) and($RHOBTB1 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-212 and(or(and(!$SGK2 $ICT1 $CREB3) and($RHOBTB1 !$FOS !$RBM23) !$IFIT1) $postmenopausal_only) 
-212 and(or(and($DDN $RHOBTB1 !$FOS !$RBM23) and($ICT1 $CREB3) !$IFIT1) $postmenopausal_only) 
