-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($RHOBTB1 !$postmenopausal_only) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-203 and(or(and(!$IGFBP4 $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-202 and(or(and($IGFBP4 $GP1BB !$capecitabine) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or(and($PSMD5 $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $oral $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$KIF17 !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 $PPEF1 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2) $oral) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7 $capecitabine) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB !$epirubicin) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB !$capecitabine) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass $letrozole) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC !$hormone_therapyClass) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(and(!$IGFBP4 !$ST6GALNAC4) !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(and(!$IGFBP4 $trastuzumab) !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) and(!$chemotherapyClass !$epirubicin)) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) and(!$chemotherapyClass !$capecitabine)) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($PHF15 $GP1BB) $IGFBP4) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($RHOBTB1 !$ARHGAP15) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($GP1BB $GLI3) $IGFBP4) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($GP1BB !$PTGES) $IGFBP4) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($OTOR !$oral) $RHOBTB1) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(!$COL11A1 !$PFN2) $KIF17) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($DUOX2 !$MAP3K7) and($RHOBTB1 $OTOR) !$MGAT4A) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) and(!$MAP3K7 $oral) !$MGAT4A) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) and(!$MAP3K7 !$anthracycline) !$MGAT4A) or($KIF17 !$PFN2)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or(and($CES2 !$PFN2) $KIF17)) 
-201 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or(not(0<($age)) $KIF17 !$PFN2)) 
-201 and(or(and(or(and(not(0<($preTrt_lymph_node_status)) !$ITPKC) !$IGFBP4) $anti_HER2) !$chemotherapyClass) or(and($IGFBP4 $GP1BB) and($RHOBTB1 $OTOR) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$GZMM $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7 $capecitabine) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$GZMM $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB !$capecitabine) !$MGAT4A !$MAP3K7) or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) !$F2RL3 $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$EIF1AY !$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 !$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) !$IGFBP4 $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$CTNNA1 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB $ZNF613) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1 $GPM6B) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1 !$GALNT8) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KCNH4 $RHOBTB1 $anti_HER2) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$KIF17 !$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) !$IGFBP4 $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) !$SERPINB2 $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $IRS4 $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$IQCG !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$CCNE2 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$VPS8 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 $ZNF14 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 $LY6H !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2 !$intarvenous)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2 $postmenopausal_only)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB $CBX4) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB !$capecitabine) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$CCR4 $RHOBTB1 !$CWF19L1) $OTOR) and($IGFBP4 $GP1BB) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or(!$DLX6 $RHOBTB1) $OTOR) and($IGFBP4 $GP1BB !$capecitabine) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($RHOBTB1 $intarvenous) $OTOR) and($IGFBP4 $GP1BB !$capecitabine) !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
-200 and(or(and(or(!$IGFBP4 !$ITPKC) $anti_HER2) !$chemotherapyClass) or(and(or($RHOBTB1 !$estrogen_receptor_blocker_and_stops_production) $OTOR) and($IGFBP4 $GP1BB) !$TNNI1 !$MGAT4A !$MAP3K7) or($KIF17 !$PFN2)) 
