study to test: study_12093_GPL96_all-bmc15
full:             0.75 0.0 0.8793103448275862
full_notrea:      0.75 0.0 0.8793103448275862

mike:             0.8308823529411765 0.05 0.9655172413793104
mike_svm:         0.8235294117647058 0.3 0.9137931034482759
mike_logi:        0.7205882352941176 0.55 0.75
mike_notrea:      0.8308823529411765 0.05 0.9655172413793104
mike_notrea_svm:  0.8161764705882353 0.3 0.9051724137931034
mike_notrea_logi: 0.6838235294117647 0.55 0.7068965517241379

trea:             0.8529411764705882 0.0 1.0
trea_svm:         0.8529411764705882 0.0 1.0
trea_logi:        0.8529411764705882 0.0 1.0



study to test: study_1379_GPL1223_all-bmc15
full:             0.4666666666666667 1.0 0.0
full_notrea:      0.4666666666666667 1.0 0.0

mike:             0.5 0.5357142857142857 0.46875
mike_svm:         0.55 0.03571428571428571 1.0
mike_logi:        0.48333333333333334 0.14285714285714285 0.78125
mike_notrea:      0.5 0.5357142857142857 0.46875
mike_notrea_svm:  0.55 0.03571428571428571 1.0
mike_notrea_logi: 0.48333333333333334 0.2857142857142857 0.65625

trea:             0.5333333333333333 0.0 1.0
trea_svm:         0.5333333333333333 0.0 1.0
trea_logi:        0.5333333333333333 0.0 1.0



study to test: study_16391_GPL570_all-bmc15
full:             0.7916666666666666 0.0 1.0
full_notrea:      0.7916666666666666 0.0 1.0

mike:             0.7291666666666666 0.1 0.8947368421052632
mike_svm:         0.7916666666666666 0.0 1.0
mike_logi:        0.5833333333333334 0.3 0.6578947368421053
mike_notrea:      0.7291666666666666 0.1 0.8947368421052632
mike_notrea_svm:  0.7916666666666666 0.0 1.0
mike_notrea_logi: 0.6041666666666666 0.4 0.6578947368421053

trea:             0.7916666666666666 0.0 1.0
trea_svm:         0.7916666666666666 0.0 1.0
trea_logi:        0.7916666666666666 0.0 1.0



study to test: study_16446_GPL570_all-bmc15
full:             0.7631578947368421 0.08 0.9550561797752809
full_notrea:      0.7631578947368421 0.08 0.9550561797752809

mike:             0.7192982456140351 0.0 0.9213483146067416
mike_svm:         0.7631578947368421 0.16 0.9325842696629213
mike_logi:        0.631578947368421 0.56 0.651685393258427
mike_notrea:      0.7192982456140351 0.0 0.9213483146067416
mike_notrea_svm:  0.7719298245614035 0.16 0.9438202247191011
mike_notrea_logi: 0.631578947368421 0.56 0.651685393258427

trea:             0.7807017543859649 0.0 1.0
trea_svm:         0.7807017543859649 0.0 1.0
trea_logi:        0.7807017543859649 0.0 1.0



study to test: study_17705_GPL96_JBI_Tissue_BC_Tamoxifen-bmc15
full:             0.8252427184466019 0.05555555555555555 0.9882352941176471
full_notrea:      0.8252427184466019 0.05555555555555555 0.9882352941176471

mike:             0.7961165048543689 0.05555555555555555 0.9529411764705882
mike_svm:         0.8252427184466019 0.1111111111111111 0.9764705882352941
mike_logi:        0.6893203883495146 0.3888888888888889 0.7529411764705882
mike_notrea:      0.7961165048543689 0.05555555555555555 0.9529411764705882
mike_notrea_svm:  0.8252427184466019 0.1111111111111111 0.9764705882352941
mike_notrea_logi: 0.6796116504854369 0.3888888888888889 0.7411764705882353

trea:             0.8252427184466019 0.0 1.0
trea_svm:         0.8252427184466019 0.0 1.0
trea_logi:        0.8252427184466019 0.0 1.0



study to test: study_17705_GPL96_MDACC_Tissue_BC_Tamoxifen-bmc15
full:             0.7282051282051282 0.03773584905660377 0.9859154929577465
full_notrea:      0.7282051282051282 0.03773584905660377 0.9859154929577465

mike:             0.7025641025641025 0.0 0.9647887323943662
mike_svm:         0.7282051282051282 0.03773584905660377 0.9859154929577465
mike_logi:        0.6615384615384615 0.39622641509433965 0.7605633802816901
mike_notrea:      0.7025641025641025 0.0 0.9647887323943662
mike_notrea_svm:  0.717948717948718 0.03773584905660377 0.971830985915493
mike_notrea_logi: 0.6666666666666666 0.5094339622641509 0.7253521126760564

trea:             0.7282051282051282 0.0 1.0
trea_svm:         0.7282051282051282 0.0 1.0
trea_logi:        0.7282051282051282 0.0 1.0



study to test: study_19615_GPL570_all-bmc15
full:             0.8181818181818182 0.0 0.9375
full_notrea:      0.8181818181818182 0.0 0.9375

mike:             0.8454545454545455 0.35714285714285715 0.9166666666666666
mike_svm:         0.7727272727272727 0.21428571428571427 0.8541666666666666
mike_logi:        0.5636363636363636 0.2857142857142857 0.6041666666666666
mike_notrea:      0.8454545454545455 0.35714285714285715 0.9166666666666666
mike_notrea_svm:  0.7727272727272727 0.21428571428571427 0.8541666666666666
mike_notrea_logi: 0.5454545454545454 0.2857142857142857 0.5833333333333334

trea:             0.5272727272727272 0.14285714285714285 0.5833333333333334
trea_svm:         0.5272727272727272 0.14285714285714285 0.5833333333333334
trea_logi:        0.8727272727272727 0.0 1.0



study to test: study_20181_GPL96_all-bmc15
full:             0.6981132075471698 0.1875 0.918918918918919
full_notrea:      0.6981132075471698 0.1875 0.918918918918919

mike:             0.6981132075471698 0.0625 0.972972972972973
mike_svm:         0.6792452830188679 0.0 0.972972972972973
mike_logi:        0.6226415094339622 0.25 0.7837837837837838
mike_notrea:      0.6981132075471698 0.0625 0.972972972972973
mike_notrea_svm:  0.6792452830188679 0.0 0.972972972972973
mike_notrea_logi: 0.5471698113207547 0.3125 0.6486486486486487

trea:             0.6981132075471698 0.0 1.0
trea_svm:         0.6981132075471698 0.0 1.0
trea_logi:        0.6981132075471698 0.0 1.0



study to test: study_20194_GPL96_all-bmc15
full:             0.31800766283524906 0.13592233009708737 1.0
full_notrea:      0.31800766283524906 0.13592233009708737 1.0

mike:             0.3486590038314176 0.17475728155339806 1.0
mike_svm:         0.2567049808429119 0.05825242718446602 1.0
mike_logi:        0.36398467432950193 0.22815533980582525 0.8727272727272727
mike_notrea:      0.3486590038314176 0.17475728155339806 1.0
mike_notrea_svm:  0.2567049808429119 0.05825242718446602 1.0
mike_notrea_logi: 0.3716475095785441 0.23300970873786409 0.8909090909090909

trea:             0.210727969348659 0.0 1.0
trea_svm:         0.210727969348659 0.0 1.0
trea_logi:        0.210727969348659 0.0 1.0



study to test: study_2034_GPL96_all-bmc15
full:             0.6258741258741258 0.04672897196261682 0.9720670391061452
full_notrea:      0.6258741258741258 0.04672897196261682 0.9720670391061452

mike:             0.6223776223776224 0.0 0.994413407821229
mike_svm:         0.6293706293706294 0.028037383177570093 0.9888268156424581
mike_logi:        0.6538461538461539 0.4953271028037383 0.7486033519553073
mike_notrea:      0.6223776223776224 0.0 0.994413407821229
mike_notrea_svm:  0.6293706293706294 0.028037383177570093 0.9888268156424581
mike_notrea_logi: 0.6398601398601399 0.4953271028037383 0.7262569832402235

trea:             0.6258741258741258 0.0 1.0
trea_svm:         0.6258741258741258 0.0 1.0
trea_logi:        0.6258741258741258 0.0 1.0



study to test: study_22226_GPL1708_all-bmc15
full:             0.359375 0.6470588235294118 0.2553191489361702
full_notrea:      0.359375 0.6470588235294118 0.2553191489361702

mike:             0.390625 0.8529411764705882 0.22340425531914893
mike_svm:         0.7109375 0.2647058823529412 0.8723404255319149
mike_logi:        0.5625 0.47058823529411764 0.5957446808510638
mike_notrea:      0.390625 0.8529411764705882 0.22340425531914893
mike_notrea_svm:  0.7109375 0.2647058823529412 0.8723404255319149
mike_notrea_logi: 0.5703125 0.4411764705882353 0.6170212765957447

trea:             0.734375 0.0 1.0
trea_svm:         0.734375 0.0 1.0
trea_logi:        0.734375 0.0 1.0



study to test: study_22358_GPL5325_all-bmc15
full:             0.36065573770491804 0.3137254901960784 0.6
full_notrea:      0.36065573770491804 0.3137254901960784 0.6

mike:             0.23770491803278687 0.13725490196078433 0.75
mike_svm:         0.1721311475409836 0.00980392156862745 1.0
mike_logi:        0.3360655737704918 0.2647058823529412 0.7
