gse,gpl,batch,n genes,n samples,title,pubmed_id,summary,web_link,overall_design,channel_count
GSE1379,GPL1223,NA,14801,60,breast cancer / tamoxifen monotherapy (whole tissue tumor biopsies),15193263,"dataset of 60 patients with ER-positive primary breast cancer and treated with tamoxifen monotherapy for 5 years. Data were generated from whole tissue sections of breast cancers.;	Sample_keyword: breast cancer, tamoxifen, recurrence;	Keywords: other",NA,NA,2
GSE2034,GPL96,NA,12722,286,Breast cancer relapse free survival,15721472,This series represents 180 lymph-node negative relapse free patients and 106 lymph-node negate patients that developed a distant metastasis.;	Please see attached patient clinical parameters sheet for more information.;	Keywords: other,NA,NA,1
GSE4913,GPL3558,NA,7470,50,Gene expression profiling of primary breast carcinomas from patients at high risk for local recurrence,17020974,"Purpose: Several risk factors for local recurrence of breast cancer after breast conserving therapy (BCT) have been identified. The identification of additional risk factors would be very useful in guiding optimal therapy and also improve understanding of the mechanisms underlying local recurrence. We used cDNA microarray analysis to identify gene expression profiles associated with local recurrence.;	Experimental Design: Using 18K cDNA microarrays, gene expression profiles were obtained from 50 patients who underwent BCT. Of these 50 patients 19 developed a local recurrence; the remaining 31 patients were selected as controls as they were free of local recurrence at least 11 years after treatment. For 9/19 patients also the local recurrence was available for gene expression profiling. Unsupervised and supervised methods of classification were used to separate patients in groups corresponding to disease outcome and to study the overall gene expression pattern of primary tumors and their recurrences.;	Results: Hierarchical clustering of patients did not show any grouping reflecting local recurrence status. Supervised analysis revealed no significant set of genes that was able to distinguish recurring tumors from non-recurring tumors. Paired-data analysis of primary tumors and local recurrences showed a remarkable similarity in gene expression profile between primary tumors and their recurrences.;	Conclusions: No significant differences in gene expression between primary breast cancer tumors in patients with or without local recurrence after breast conserving therapy were identified. Furthermore, analyses of primary tumors and local recurrences show a preservation of the overall gene expression pattern in the local recurrence, even after radiotherapy.;	Keywords: gene expression profiling",NA,"The series contains 50 primary breast carcinomas; 19 of which develop a local recurrence (cases) and 31 remain free from local recurrence for 11 years after therapy (controls).;	In addition this studie group contains 9 recurrences that are the actual recurrence of 9 out the 19 cases.;	--------------------;	31 primary tumors without recurrence:;	GSM110395, GSM110396, GSM110397, GSM110398, GSM110399, GSM110400, GSM110401, GSM110406, GSM110407, GSM110409, GSM110410, GSM110413, GSM110414, GSM110415, GSM110416, GSM110418, GSM110419, GSM110420, GSM110421, GSM110423, GSM110424, GSM110425, GSM110427, GSM110428, GSM110430, GSM110431, GSM110432, GSM110434, GSM110435, GSM110437, GSM110438;	--------------------;	19 primary tumors with recurrence:;	GSM110388, GSM110392, GSM110394, GSM110402, GSM110411, GSM110412, GSM110417, GSM110422, GSM110426, GSM110429, GSM110433, GSM110436, GSM110440, GSM110441, GSM110444, GSM110445, GSM110446, GSM110449, GSM110451;	--------------------;	9 recurrences:;	GSM110391, GSM110439, GSM110442, GSM110443, GSM110447, GSM110448, GSM110450, GSM110452, GSM110453",2
GSE6577,GPL3883,NA,4242,88,Estrogen receptor beta expression is associated with tamoxifen response in ER alpha-negative breast carcinoma,17404078,"Purpose: Endocrine therapies, such as tamoxifen are commonly given to most patients with estrogen receptor (ER) alpha-positive breast carcinoma but are not indicated for persons with ERalpha-negative cancer. The factors responsible for response to tamoxifen in 5-10% of patients with ERalpha-negative tumors are not clear. The aim of the present study was to elucidate the biology and role of the second ER, ERbeta, in patients treated with adjuvant tamoxifen.;	Experimental Design: We investigated ERbeta by immunohistochemistry in 353 stage II primary breast tumors from patients treated with two years adjuvant tamoxifen, and generated gene expression profiles for a representative subset of 88 tumors.;	Results: ERbeta was associated with increased survival (distant disease-free survival, P=0.01; overall survival, P=0.22), and in particular within ERalpha-negative patients (P=0.003; P=0.04), but not in the;	ERalpha-positive subgroup (P=0.49; P=0.88). Lack of ERbeta conferred early relapse (hazard ratio, 14; 95% CI, 1.8-106; P=0.01) within the ERalpha-negative subgroup even after adjustment for other markers. ERalpha was an independent marker only within the ERbeta-negative tumors (hazard ratio, 0.44; 95% CI, 0.21-0.89; P=0.02). An ERbeta gene expression profile was identified and was markedly different from the ERalpha signature.;	Conclusion: Expression of ERbeta is an independent marker for favorable prognosis after adjuvant tamoxifen treatment in ERalpha-negative breast cancer patients, and involves a gene expression program;	distinct from ERalpha. These results may be highly clinically significant, because in the U.S. alone, approximately 10,000 women are diagnosed annually with ERalpha-negative/ERbeta-positive breast carcinoma and may benefit from adjuvant tamoxifen.;	Keywords: Disease state analysis",NA,88 breast cancer tumor samples were analyzed on 2-color cDNA microarrays containing ~27K reporters with Stratagene Universal Human Reference RNA as the common reference sample.,2
GSE9893,GPL5049,NA,13154,155,A gene expression signature predicting the recurrence of tamoxifen-treated primary breast cancer.,18347175,"A 36-gene classifier was constructed through expression profiling of 132 tumors  from tamoxifen-treated patients using 70-mer oligonucleotide microarrays. The robustness of the signature was demonstrated using expression data from 83 independent tumors. The 36-gene signature was (i) more efficient to predict disease-free survival than the traditional histo-pathological prognostic factors, (ii) as effective as the Nottingham Prognostic Index or the ""Adjuvant!"" software, and (iii) the only independent prognostic factor. Comparison with several already published signatures demonstrated that the 36-gene signature was among the best to classify tumors.;	Keywords: Gene expression profiling; supervised analysis; molecular signature predictive of recurrence; univariate and multivariate analysis in relation to disease-free survival.",NA,"In the study presented here, a cohort of 132 primary tumors from tamoxifen-treated patients followed up more than 5-years, was used to acquire expression profiles at the whole genome level by 70-mer oligonucleotide microarrays containing 22,680 probes (which represent 21,329 human specific genes). Supervised predictive analysis of microarrays allowed construction of a 36-gene molecular classifier whose robustness was assessed by using gene expression data from 83 independent tumors (including 23 tumors from our microarray platform and 60 tumors from the study by Ma et al., Cancer cell 2004; 5:607-616).",1
GSE12071,GPL5186,NA,3298,46,Gene expression variation to predict 10-year survival in lymph-node-negative breast cancer,18778486,"Expression profiling of breast cancer tumours, comparing 10 year survivors to deceased patients;	;	Background;	It is of great significance to find better markers to correctly distinguish between high-risk and low-risk breast cancer patients since the majority of breast cancer cases are at present being overtreated. ;	;	Methods;	46 tumours from node-negative breast cancer patients were studied with gene expression microarrays. A t-test was carried out in order to find a set of genes where the expression might predict clinical outcome. Two classifiers were used to evaluate the gene lists on the different data sets, a correlation-based classifier and a VFI (Voting Features Interval) classifier. We then evaluated the predictive accuracy of this expression signature on tumour sets from two similar studies on lymph-node negative patients which had developed gene expression signatures superior to current methods in classifying node-negative breast tumours. These two signatures were also tested on our material.;	;	Results;	A list of 51 genes whose expression profiles could predict clinical outcome with high accuracy in our material (96% or 89% accuracy in cross-validation, depending on type of classifier) was developed. When tested on two independent data sets, the expression signature based on the 51 identified genes had good predictive qualities in one of  the data sets (74% accuracy), whereas their predictive value on the other data set were poor, presumably due to the fact that only 23 of the 51 genes were found in that material. We also found that previously developed expression signatures could predict clinical outcome well to moderately well in our material (72% and 61%, respectively). ;	;	Conclusion;	The list of 51 genes derived in this study might have potential for clinical utility as a prognostic gene set, and may include candidate genes of potential relevance for clinical outcome in breast cancer. According to the predictions by this expression signature, 30 of the 46 patients should have had different adjuvant treatment than they did.;	;	Keywords: Expression Microarray, Lymph-node-negative Breast Cancer, Clinical Outcome, Classification",NA,"23 fresh frozen primary node negative breast cancer tumours from 10 year survivors were compared to 23 tumours from deceased patients in order to find genes where the expression differed between the two groups;	;	Microarrays were produced at the Swegene DNA Microarray Resource Center, Department of Oncology, Lund University, Sweden (http://swegene.onk.lu.se). ;	;	Frozen tumours were homogenized together with TRIzol Reagent (Invitrogen, Carlsbad, CA, USA). From the cell-suspension total RNA was extracted using RNeasy mini kit (Qiagen, Valencia, CA, USA) according to the manufacturer’s protocol. The quality of the RNA was evaluated with the Agilent 2100 BioAnalyser (Agilent Technologies, Palo Alto, CA, USA). Specimens where the 28S/16S ratio was lower than 1.0 or the RIN-value was lower than 6.7 were excluded from the study. For each sample, Cy3-dCTP (Amersham Biosciences, Buckinghamshire, UK) labelled probes were synthesized from 5 µg of the total tumour RNA and Cy5-dCTP (Amersham Biosciences) labelled reference were synthesized from 5 µg of commercial reference RNA (Universal Human Reference RNA, Stratagene, La Jolla, CA, USA) by reverse transcription. The probes were purified using ChipShot™ labelling cleanup system (Promega, Madison, WI, USA). The hybridizations were carried out using Pronto! Micro Array reagent systems (Corning Inc., Corning, NY, USA). For each sample, labelled tumour cDNA and reference cDNA were co-precipitated and hybridised to the microarray slide. The microarray slides were scanned with Agilent microarray scanner G2565AA (Agilent Technologies) and image analysis was performed using the Genepix 6.0.0.45 software (Axon Instruments, Union City, CA, USA).",2
GSE12093,GPL96,NA,12722,136,The 76-gene Signature Defines High-Risk Patients that Benefit from Adjuvant Tamoxifen Therapy,18821012,Classification of tamixifen-treated breast cancer patients into high and low risk groups using the 76-gene signature,NA,136 breast cancer samples that were treated with tamoxifen were classified using the 76-gene signature,1
GSE16391,GPL570,NA,18260,48,GGI: a potential predictor of relapse for endocrine-treated breast cancer patients in the BIG 1-98 trial,19573224,"Background: We have previously shown that the Gene expression Grade Index (GGI) was able to identify two subtypes of estrogen receptor (ER)-positive tumors that were associated with statistically distinct clinical outcomes in both untreated and tamoxifen-treated patients. Here, we aim to investigate the ability of the GGI to predict relapses in postmenopausal women who were treated with tamoxifen (T) or letrozole (L) within the BIG 1-98 trial.;	Methods: We generated gene expression profiles (Affymetrix) and computed the GGI for a matched, case-control sample of patients enrolled in the BIG 1-98 trial from the two hospitals where frozen samples were available. All relapses (cases) were identified from patients randomized to receive monotherapy or from the switching treatment arms for whom relapse occurred before the switch.  Each case was randomly matched with four controls based upon nodal status and treatment (T or L).  The prognostic value of GGI was assessed as a continuous predictor and divided at the median.  Predictive accuracy of GGI was estimated using time-dependent area under the curve (AUC) of the ROC curves. ;	Results:  Frozen samples were analyzable for 48 patients (10 cases and 38 controls).  Seven of the 10 cases had been assigned to receive L. Cases and controls were comparable with respect to menopausal and nodal status, local and chemotherapy, and HER2 positivity. Cases were slightly older than controls and had a larger proportion of large, poorly differentiated ER+/PgR- tumors.  The GGI was significantly and linearly related to risk of relapse: each 10-unit increase in GGI resulted in an increase of approximately 11% in the hazard rate (p=0.02).  Within the subgroups of patients with node-positive disease or who were treated with L, the hazard of relapse was significantly greater for patients with GGI at or above the median. AUC reached a maximum of 78% at 27 months.;	Conclusions: This analysis supports the GGI as a good predictor of relapse for ER-positive patients, even among patients who receive L.  Validation of these results, in a larger series from BIG 1-98, is planned using the simplified GGI represented by a smaller set of genes and tested by qRT-PCR on paraffin-embedded tissues. ",NA,"Test whether the Gene expression Grade Index (GGI) is a potential predictor of relapse for endocrine-treated breast cancer patients in the BIG 1-98 trial.;	;	55 microarray experiments from primary breast tumors of endocrine-treated patients.;	;	No replicate, no reference sample.",1
GSE16446,GPL570,NA,18260,114,Multifactorial Approach to Predicting Resistance to Anthracyclines,21422418,"PURPOSE: Validated biomarkers predictive of response/resistance to anthracyclines in breast cancer are currently lacking. The neoadjuvant TOP trial, in which patients with estrogen receptor (ER)-negative tumors were treated with anthracycline (epirubicin) monotherapy, was specifically designed to evaluate the predictive value of topoisomerase IIα (TOP2A) and to develop a gene expression signature to identify those patients who do not benefit from anthracyclines.;	;	METHODS: The TOP trial included 149 patients, of which 141 were evaluable for response prediction analyses. The primary endpoint was pathological complete response (pCR). TOP2A and gene expression profiles were evaluated using pre-epirubicin biopsies. Gene expression data from ER-negative samples of the EORTC 10994/BIG 00-01 and MDACC 2003-0321 neoadjuvant trials were used for validation purposes.;	;	RESULTS: A pCR was obtained in 14% of the evaluable TOP patients. TOP2A amplification, but not protein overexpression, was significantly associated with pCR (p=0.001 and 0.22). We developed an “anthracycline-based score (A-Score)” that combines three signatures: a TOP2A gene signature and two previously published signatures related to tumor invasion and immune response. The A-Score was characterized by a high negative predictive value (NPV=0.98 [95% CI: 0.90-1.00]) overall, and in the HER2-negative and HER2-positive subpopulations. Its performance was independently confirmed in the anthracycline-based (FAC/FEC) arms of the two validation trials (BIG 00-01: 0.80 [0.61-0.92] and MDACC 2003-0321: 1.00 [0.80-1.00]).;	;	CONCLUSION: Given its high NPV, the A-Score could become, if further validated, a useful clinical tool to identify those patients who do not benefit from anthracyclines and could therefore be spared the non-negligible side effects.",NA,"Predicting the efficacy of anthracyclines (epirubicin) in breast cancer (BC) patients (TOP trial);	;	120 microarray experiments from primary ER-negative breast tumors of anthracycline-treated patients.;	;	No replicate, no reference sample.",1
GSE17705,GPL96,JBI_Tissue_BC_Tamoxifen,12722,103,Endocrine Sensitivity Index Validation Dataset,20697068,Validation dataset of 298 ER-positive patients treated with tamoxifen for 5 years.;	;	All patients in this dataset have ER+ breast cancer and were uniformly treated with tamoxifen for 5 years. The objective of the study was to correlate levels of genomic markers to outcomes (relapse free survival) in this cohort of uniformly treated patients.,NA,Tissue samples were processed and profiled by two different labs (MD Anderson Cancer Center and Jules Bordet Institute).,1
