"geneid","genesymbol","genename","name"
1555,"CYP2B6","cytochrome P450 family 2 subfamily B member 6","Cytochrome P450 2B6"
1565,"CYP2D6","cytochrome P450 family 2 subfamily D member 6","Cytochrome P450 2D6"
1576,"CYP3A4","cytochrome P450 family 3 subfamily A member 4","Cytochrome P450 3A4"
1577,"CYP3A5","cytochrome P450 family 3 subfamily A member 5","Cytochrome P450 3A5"
2099,"ESR1","estrogen receptor 1","Estrogen receptor"
2326,"FMO1","flavin containing dimethylaniline monoxygenase 1","Dimethylaniline monooxygenase [N-oxide-forming] 1"
2328,"FMO3","flavin containing dimethylaniline monoxygenase 3","Dimethylaniline monooxygenase [N-oxide-forming] 3"
6817,"SULT1A1","sulfotransferase family 1A member 1","Sulfotransferase 1A1"
54575,"UGT1A10","UDP glucuronosyltransferase family 1 member A10","UDP-glucuronosyltransferase 1-10"
54657,"UGT1A4","UDP glucuronosyltransferase family 1 member A4","UDP-glucuronosyltransferase 1-4"
